dataset,accuracy,algorithm,score,feat_sel,runtime,path,path_ids,criterion,max_depth
kidney_disease-blood_analysis.csv,96.25,XGBoost,0.7582888918796079,symmetrical uncertainty,0 days 00:00:23.723057,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,1.0
kidney_disease-blood_analysis-cell_info.csv,97.5,CART,0.5020569798845167,information-gain,0 days 00:00:00.873978,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv', 'other-data/decision-trees-split/kidney-disease/cell_info.csv']","['id', 'kd_id', 'id', 'ba_id']",gini,3.0
kidney_disease-blood_analysis-cell_info.csv,57.5,ID3,0.5020569798845167,information-gain,0 days 00:00:04.760214,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv', 'other-data/decision-trees-split/kidney-disease/cell_info.csv']","['id', 'kd_id', 'id', 'ba_id']",,
kidney_disease-blood_analysis-cell_info.csv,96.25,XGBoost,0.5020569798845167,information-gain,0 days 00:00:30.714578,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv', 'other-data/decision-trees-split/kidney-disease/cell_info.csv']","['id', 'kd_id', 'id', 'ba_id']",,1.0
kidney_disease-blood_analysis.csv,91.25,CART,0.7103577696081506,gini-index,0 days 00:00:00.815194,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",entropy,9.0
kidney_disease-blood_analysis.csv,58.75,ID3,0.7103577696081506,gini-index,0 days 00:00:03.361592,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,
kidney_disease-blood_analysis.csv,96.25,XGBoost,0.7103577696081506,gini-index,0 days 00:00:22.703828,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,1.0
kidney_disease-patient_disease.csv,80.0,CART,0.6541509946937167,spearman-correlation,0 days 00:00:00.438227,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/patient_disease.csv']","['id', 'kd_id']",entropy,5.0
kidney_disease-patient_disease.csv,60.0,ID3,0.6541509946937167,spearman-correlation,0 days 00:00:02.012271,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/patient_disease.csv']","['id', 'kd_id']",,
kidney_disease-patient_disease.csv,85.0,XGBoost,0.6541509946937167,spearman-correlation,0 days 00:00:19.679458,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/patient_disease.csv']","['id', 'kd_id']",,1.0
kidney_disease-blood_analysis.csv,91.25,CART,0.939939244467955,reliefF,0 days 00:00:05.965360,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",entropy,7.0
kidney_disease-blood_analysis.csv,58.75,ID3,0.939939244467955,reliefF,0 days 00:00:08.598084,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,
kidney_disease-blood_analysis.csv,96.25,XGBoost,0.939939244467955,reliefF,0 days 00:00:29.524978,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,1.0
steel_plate_fault-type_of_fault.csv,100.0,CART,0.849411598968195,symmetrical uncertainty,0 days 00:00:01.564413,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",entropy,7.0
steel_plate_fault-type_of_fault.csv,45.76,ID3,0.849411598968195,symmetrical uncertainty,0 days 00:00:19.304097,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,
steel_plate_fault-type_of_fault.csv,100.0,XGBoost,0.849411598968195,symmetrical uncertainty,0 days 00:00:19.617289,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,1.0
steel_plate_fault-luminosity.csv,99.74,CART,0.6358962715852068,information-gain,0 days 00:00:01.636200,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/luminosity.csv']","['index', 'spf_id']",entropy,2.0
steel_plate_fault-luminosity.csv,36.25,ID3,0.6358962715852068,information-gain,0 days 00:00:20.588861,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/luminosity.csv']","['index', 'spf_id']",,
steel_plate_fault-luminosity.csv,99.74,XGBoost,0.6358962715852068,information-gain,0 days 00:00:09.955814,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/luminosity.csv']","['index', 'spf_id']",,2.0
steel_plate_fault-type_of_fault.csv,100.0,CART,1.0,gini-index,0 days 00:00:01.657437,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",entropy,7.0
steel_plate_fault-type_of_fault.csv,45.76,ID3,1.0,gini-index,0 days 00:00:18.979615,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,
steel_plate_fault-type_of_fault.csv,100.0,XGBoost,1.0,gini-index,0 days 00:00:17.249738,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,1.0
steel_plate_fault-type_of_fault.csv,100.0,CART,0.713139138823627,spearman-correlation,0 days 00:00:01.506733,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",entropy,7.0
steel_plate_fault-type_of_fault.csv,45.76,ID3,0.713139138823627,spearman-correlation,0 days 00:00:18.622897,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,
steel_plate_fault-type_of_fault.csv,100.0,XGBoost,0.713139138823627,spearman-correlation,0 days 00:00:16.859759,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,1.0
steel_plate_fault-type_of_fault.csv,100.0,CART,0.4998237281084455,reliefF,0 days 00:04:19.173764,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",entropy,7.0
steel_plate_fault-type_of_fault.csv,45.76,ID3,0.4998237281084455,reliefF,0 days 00:04:41.110649,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,
steel_plate_fault-type_of_fault.csv,100.0,XGBoost,0.4998237281084455,reliefF,0 days 00:04:43.517342,"['other-data/decision-trees-split/steel-plate-fault/steel_plate_fault.csv', 'other-data/decision-trees-split/steel-plate-fault/type_of_fault.csv']","['index', 'spf_id']",,1.0
titanic-passenger_info.csv,77.65,CART,0.6212031290342385,symmetrical uncertainty,0 days 00:00:00.622389,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",gini,2.0
titanic-passenger_info.csv,34.64,ID3,0.6212031290342385,symmetrical uncertainty,0 days 00:00:05.334460,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,
titanic-passenger_info.csv,79.33,XGBoost,0.6212031290342385,symmetrical uncertainty,0 days 00:00:07.788559,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,1.0
titanic-ticket_info.csv,68.72,CART,0.4990944584187046,information-gain,0 days 00:00:00.705104,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv']","['TicketId', 'TicketId']",gini,5.0
titanic-ticket_info.csv,44.1,ID3,0.4990944584187046,information-gain,0 days 00:00:07.323810,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv']","['TicketId', 'TicketId']",,
titanic-ticket_info.csv,67.18,XGBoost,0.4990944584187046,information-gain,0 days 00:00:11.055912,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv']","['TicketId', 'TicketId']",,1.0
titanic-ticket_info-cabin.csv,68.02,CART,0.2787762401644942,gini-index,0 days 00:00:00.643856,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv', 'other-data/decision-trees-split/titanic/cabin.csv']","['TicketId', 'TicketId', 'TicketId', 'TicketId']",gini,4.0
titanic-ticket_info-cabin.csv,41.62,ID3,0.2787762401644942,gini-index,0 days 00:00:08.600261,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv', 'other-data/decision-trees-split/titanic/cabin.csv']","['TicketId', 'TicketId', 'TicketId', 'TicketId']",,
titanic-ticket_info-cabin.csv,69.54,XGBoost,0.2787762401644942,gini-index,0 days 00:00:13.161229,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/ticket_info.csv', 'other-data/decision-trees-split/titanic/cabin.csv']","['TicketId', 'TicketId', 'TicketId', 'TicketId']",,1.0
titanic-passenger_info.csv,77.65,CART,0.8253647134586319,spearman-correlation,0 days 00:00:00.720062,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",gini,2.0
titanic-passenger_info.csv,34.64,ID3,0.8253647134586319,spearman-correlation,0 days 00:00:05.332179,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,
titanic-passenger_info.csv,79.33,XGBoost,0.8253647134586319,spearman-correlation,0 days 00:00:06.498960,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,1.0
titanic-passenger_info.csv,77.65,CART,0.05387205387205387,reliefF,0 days 00:00:23.789356,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",gini,2.0
titanic-passenger_info.csv,34.64,ID3,0.05387205387205387,reliefF,0 days 00:00:29.034039,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,
titanic-passenger_info.csv,79.33,XGBoost,0.05387205387205387,reliefF,0 days 00:00:32.535362,"['other-data/decision-trees-split/titanic/titanic.csv', 'other-data/decision-trees-split/titanic/passenger_info.csv']","['PassengerId', 'PassengerId']",,1.0
