weak_cc_crossing,weak_cc_passing,weak_cc_shooting,weak_cc_positioning,ws_id,id
60,70,70,Organised,107904,194213
45,65,70,Organised,43964,238083
65,60,65,Organised,54569,444040
60,70,70,Free Form,62993,70182
40,45,70,Organised,97860,989298
70,30,30,Organised,48273,211629
55,50,60,Organised,45846,836980
70,50,70,Organised,23357,829605
65,60,65,Organised,2550,293495
65,67,70,Organised,1608,857228
55,65,60,Organised,43890,216241
70,50,70,Organised,82800,175462
70,70,70,Organised,27730,555529
70,70,70,Organised,39905,388346
65,70,70,Organised,16201,540596
50,50,50,Organised,71720,827787
40,65,70,Organised,97798,239475
70,65,70,Organised,5695,454559
65,60,65,Organised,17083,122119
70,65,70,Organised,60082,180026
65,65,65,Organised,72847,823282
40,45,70,Organised,15444,990097
70,50,70,Organised,93503,340063
65,60,65,Organised,50512,929219
60,50,70,Organised,30648,363270
70,70,70,Organised,15321,603172
70,70,70,Organised,40607,396621
70,50,70,Organised,67460,562186
60,70,70,Free Form,88961,514825
65,65,65,Organised,48874,415366
50,50,50,Organised,46896,657299
50,70,30,Organised,106419,440936
70,50,70,Organised,39261,309464
70,65,70,Organised,51758,639688
70,70,70,Organised,34296,602791
70,70,70,Free Form,53996,763788
55,65,60,Organised,90707,400497
60,65,70,Organised,27487,236770
70,70,70,Organised,43200,663899
70,65,70,Organised,61533,165852
65,65,70,Organised,522,81080
70,65,70,Organised,27537,695461
70,70,70,Free Form,53483,142249
55,50,60,Organised,72762,771256
65,45,70,Organised,20178,977256
50,50,50,Organised,64114,841367
50,70,30,Organised,23331,212200
37,59,70,Organised,68585,762978
65,65,65,Organised,10409,718643
65,60,65,Organised,29918,128688
65,70,70,Organised,2954,930269
70,65,70,Organised,7713,600488
65,65,70,Organised,14647,261725
52,41,39,Organised,21616,451794
38,48,34,Organised,11429,82285
72,68,38,Organised,7037,651522
62,30,61,Organised,102088,129393
52,46,38,Organised,93153,909648
53,53,39,Organised,108603,555155
71,68,38,Organised,21192,758183
45,31,39,Organised,16203,307569
55,48,51,Organised,74245,662041
48,55,55,Organised,65911,796160
71,26,38,Organised,19760,875792
41,60,55,Organised,71396,836067
56,41,54,Organised,101383,11538
72,68,38,Organised,30100,732743
62,30,61,Organised,21287,16794
55,56,57,Organised,93452,499316
52,41,39,Organised,10718,666561
28,24,41,Organised,23757,925679
54,39,53,Organised,61061,248099
28,24,41,Organised,59452,441726
54,65,57,Organised,59271,814064
55,48,51,Organised,97420,294155
38,48,34,Organised,44746,433545
52,41,39,Organised,95976,32866
47,53,57,Organised,91404,248786
45,70,66,Free Form,10855,218199
55,41,55,Organised,330,292848
72,67,66,Organised,16673,223321
45,31,39,Organised,34371,516533
38,48,34,Organised,60430,481305
41,60,55,Organised,88432,818275
70,55,54,Organised,64803,637095
28,24,41,Organised,53830,748723
56,41,54,Organised,42693,331951
44,63,68,Organised,108915,235165
55,56,57,Organised,101138,683584
54,65,57,Organised,9057,38292
41,60,55,Organised,4639,249316
28,24,41,Organised,88929,3643
45,31,39,Organised,20916,961886
68,37,40,Organised,67623,902345
28,24,41,Organised,89925,770529
54,65,57,Organised,47971,261249
53,57,55,Organised,38381,274974
56,41,54,Organised,20838,230509
66,65,50,Organised,94908,774352
72,67,66,Organised,91329,466068
71,68,38,Organised,45739,898355
62,30,61,Organised,3099,325107
45,31,39,Organised,99910,390516
53,53,39,Organised,7762,442385
52,41,39,Organised,59927,285963
72,68,38,Organised,69508,415688
41,60,55,Organised,16771,161444
55,48,51,Organised,76128,106075
52,41,39,Organised,42037,328956
45,31,39,Organised,56450,992279
72,67,66,Organised,20797,982122
55,56,57,Organised,40748,271550
62,30,61,Organised,9730,51507
41,60,55,Organised,3991,287322
70,55,54,Organised,61658,545109
56,41,54,Organised,101501,462108
53,53,39,Organised,64501,669266
45,54,58,Free Form,64341,15082
41,70,69,Free Form,94749,133830
52,46,38,Organised,62701,852440
55,56,57,Organised,87838,249752
70,30,40,Organised,70259,531877
28,53,55,Organised,54443,564433
69,56,47,Organised,108977,616599
71,68,38,Organised,101269,670515
47,53,57,Organised,85911,320003
55,56,57,Organised,90082,459482
54,39,53,Organised,43222,23889
68,37,40,Organised,77989,393066
55,48,51,Organised,95965,62080
64,60,50,Organised,30378,976820
28,24,41,Organised,50542,715435
70,55,54,Organised,17137,745661
71,68,38,Organised,80700,202823
45,31,39,Organised,99600,308472
70,30,40,Organised,30119,231904
55,41,55,Organised,107566,764255
41,60,55,Organised,108853,998336
48,55,55,Organised,29309,98426
48,62,62,Organised,50216,804950
69,56,47,Organised,92003,121026
55,56,57,Organised,77410,399844
64,60,50,Organised,732,878559
47,53,57,Organised,52647,2321
45,70,66,Free Form,6387,77821
70,55,54,Organised,77576,289757
54,65,57,Organised,51223,969234
72,68,38,Organised,38829,329483
62,30,61,Organised,80938,698564
53,47,53,Organised,99388,463096
39,33,68,Organised,32011,241704
51,38,49,Organised,48761,744152
45,67,66,Organised,17501,59806
52,49,52,Organised,63313,699402
60,47,52,Organised,35432,125696
63,52,33,Organised,68288,648298
50,65,35,Organised,23263,715692
58,68,40,Organised,66087,126677
45,50,62,Organised,105250,131349
42,33,42,Organised,88837,377538
55,48,55,Organised,18984,913600
55,40,55,Organised,26271,257611
45,37,32,Organised,5075,411979
50,35,65,Organised,23722,469876
50,35,65,Organised,90577,67264
53,37,52,Organised,57616,793935
50,65,50,Free Form,72199,773576
51,38,49,Organised,72637,547830
53,47,53,Organised,18288,88145
67,70,43,Organised,35629,280171
63,52,33,Organised,16265,979724
52,68,61,Organised,91022,177622
45,37,32,Organised,64068,892379
55,40,55,Organised,108945,682884
63,52,33,Organised,1436,468888
50,78,45,Organised,62806,925667
55,48,55,Organised,96878,573373
50,65,35,Organised,4744,77545
63,70,48,Organised,29822,998409
50,65,50,Organised,47938,785077
78,22,30,Organised,77034,242705
57,56,46,Organised,22510,451995
45,50,62,Organised,21275,307753
52,68,61,Organised,83647,304800
49,48,39,Organised,9524,422792
58,68,40,Organised,79004,614175
50,35,65,Organised,40455,68995
67,38,43,Organised,64764,966412
55,48,55,Organised,87283,135261
60,47,52,Organised,23941,36067
36,41,68,Free Form,60328,299363
52,28,48,Organised,81351,297414
51,38,49,Organised,60266,818821
50,65,50,Organised,91658,273360
50,40,50,Organised,83884,809428
65,65,50,Organised,78361,60585
50,35,65,Organised,37802,608766
67,51,51,Organised,95383,224684
42,33,42,Organised,18053,286049
51,38,49,Organised,70573,170698
45,67,66,Organised,79765,377131
74,39,61,Organised,73081,783279
50,40,50,Organised,59566,605704
39,33,68,Organised,107817,620019
60,47,52,Organised,98789,587630
51,38,49,Organised,22097,671363
45,67,66,Organised,74320,635616
74,39,61,Organised,60733,482621
50,40,50,Organised,52126,526960
39,33,68,Organised,59915,426154
60,47,52,Organised,47427,60915
52,49,52,Organised,66278,366092
65,65,50,Organised,60617,364350
52,28,48,Organised,37965,484537
65,65,50,Organised,73265,17166
65,65,50,Organised,103984,478919
37,38,49,Organised,31117,321438
57,56,46,Organised,44905,983520
45,37,32,Organised,79501,29129
50,65,50,Organised,76280,821279
65,65,50,Organised,39926,388651
50,65,50,Free Form,70557,774140
36,41,68,Free Form,14259,71926
50,65,35,Organised,45741,719418
53,47,53,Organised,84643,30481
52,68,61,Organised,45376,744173
73,59,53,Organised,945,352047
78,22,30,Organised,77662,543675
55,48,55,Organised,2707,980449
39,33,68,Organised,67123,907170
66,51,57,Organised,92673,777827
63,52,33,Organised,97812,375519
50,50,65,Organised,26166,763776
53,47,53,Organised,16479,786709
49,48,39,Organised,60736,692048
45,50,62,Organised,68320,984559
67,70,43,Organised,94217,726175
37,38,49,Organised,63709,901802
74,39,61,Organised,100443,237612
50,65,54,Organised,85507,257241
67,38,43,Organised,74401,14044
67,70,43,Organised,103917,785476
50,35,65,Organised,25501,585526
50,65,50,Organised,36324,592062
36,41,68,Free Form,61479,95576
50,65,50,Free Form,13744,405634
63,52,33,Organised,15137,720824
50,65,50,Organised,64894,658378
50,40,50,Organised,34837,934683
66,51,57,Organised,85664,587539
63,70,48,Organised,58263,147258
52,68,61,Organised,45879,488361
55,48,55,Organised,103688,866705
55,40,55,Organised,73879,445341
50,65,54,Organised,91069,10362
68,52,50,Organised,51196,774680
39,33,68,Organised,59239,115177
67,38,43,Organised,103527,183565
51,38,49,Organised,31571,764526
45,50,62,Organised,23913,786611
55,48,55,Organised,22774,651434
52,49,52,Organised,46712,197253
42,33,42,Organised,62303,746115
37,38,49,Organised,15099,666155
50,50,65,Organised,93949,783946
67,38,43,Organised,40426,835438
60,47,52,Organised,6421,59492
52,49,52,Organised,1442,178014
50,78,45,Organised,107629,665706
45,67,66,Organised,77105,3909
42,33,42,Organised,33938,551299
55,48,55,Organised,13214,604974
50,65,35,Organised,16602,907357
39,33,68,Organised,8022,637191
51,38,49,Organised,54382,521859
36,41,68,Free Form,77294,777284
66,51,57,Organised,25448,393359
53,37,52,Organised,85661,698481
53,47,53,Organised,33708,52930
55,48,55,Organised,97163,509067
53,37,52,Organised,25649,811123
50,78,45,Organised,105565,332041
44,57,54,Organised,44682,290251
52,49,52,Organised,92448,956418
60,47,52,Organised,43870,358182
42,33,42,Organised,27903,392242
45,67,66,Organised,98769,88621
50,65,50,Organised,29590,13631
78,22,30,Organised,57359,662582
50,65,50,Free Form,92650,336661
39,33,68,Organised,43892,610747
42,57,54,Organised,13553,826668
25,32,32,Organised,72471,980033
32,29,49,Organised,90141,278581
51,38,49,Organised,17224,718327
67,38,43,Organised,122,396017
50,35,65,Organised,77748,273736
53,47,53,Organised,18254,60771
50,40,50,Organised,89809,90338
32,33,48,Organised,33407,290374
55,70,35,Organised,88351,628828
32,29,49,Organised,65975,170276
50,65,54,Organised,47398,809116
63,52,33,Organised,67056,332637
50,65,50,Organised,58205,279511
52,49,52,Organised,77285,708607
37,38,49,Organised,13910,144895
50,66,35,Organised,7513,264756
55,48,55,Organised,104226,916714
67,38,43,Organised,24148,485139
25,32,32,Organised,21029,331954
32,29,49,Organised,63708,144063
50,35,65,Organised,49905,768594
50,65,54,Organised,35128,257871
50,65,50,Organised,50795,974083
50,40,50,Organised,58414,6123
50,66,35,Organised,14185,934192
67,64,43,Organised,62781,714080
57,51,51,Organised,90691,912469
50,66,35,Organised,76448,350551
32,50,67,Free Form,5032,703647
50,50,65,Organised,76446,934161
37,38,49,Organised,80448,29246
32,29,49,Organised,425,275769
56,53,56,Free Form,32743,838755
32,33,48,Organised,96227,257520
50,65,50,Organised,73851,648949
55,70,35,Organised,75426,403321
52,49,52,Organised,25255,789303
32,29,49,Organised,85928,123571
50,35,65,Organised,13899,665158
50,65,50,Organised,57173,42075
50,40,50,Organised,51837,697303
25,32,32,Organised,5427,374034
58,68,40,Organised,60487,863623
32,50,67,Free Form,25038,933176
58,68,40,Organised,58054,261998
42,57,54,Organised,24070,570333
32,50,67,Free Form,95881,834867
70,66,53,Organised,84036,698480
42,57,54,Organised,51153,561484
32,50,67,Free Form,100759,138638
78,22,30,Organised,101590,607338
60,47,52,Organised,69539,893838
37,56,33,Free Form,35415,297174
50,65,50,Organised,10484,792581
55,40,55,Organised,70226,63505
53,47,53,Organised,65382,68011
32,33,48,Organised,43359,44970
67,38,43,Organised,105153,766685
36,41,68,Free Form,60212,728523
50,78,45,Organised,105573,496332
58,68,40,Organised,92690,303416
45,50,62,Organised,24456,685262
51,38,49,Organised,64547,481414
62,55,39,Free Form,73832,912670
52,68,61,Organised,2778,435841
45,37,32,Organised,83742,212032
32,29,49,Organised,9697,278838
25,32,32,Organised,27365,261108
50,65,50,Organised,83555,27793
53,47,53,Organised,20859,637832
37,38,49,Organised,46572,612582
50,40,50,Organised,65331,159660
63,52,33,Organised,96004,738672
45,50,62,Organised,34480,354848
32,29,49,Organised,2740,786354
50,35,65,Organised,52412,325738
67,38,43,Organised,56095,894959
55,40,55,Organised,71176,84399
78,22,30,Organised,105991,247855
50,40,50,Organised,62825,321466
32,29,49,Organised,101931,293321
52,33,48,Free Form,1067,26139
56,53,56,Free Form,102563,565726
52,68,61,Organised,36287,167224
32,33,48,Organised,5587,303491
55,48,55,Organised,23205,3013
50,65,54,Organised,78048,305884
50,50,65,Organised,71702,413191
50,66,35,Organised,45473,116675
25,32,32,Organised,3127,220510
50,35,65,Organised,87796,465548
50,65,54,Organised,57196,19277
51,38,49,Organised,63556,352420
50,65,50,Organised,107220,926227
78,22,30,Organised,45103,423974
50,40,50,Organised,26827,547716
67,38,43,Organised,33907,490577
67,64,43,Organised,12992,10609
37,38,49,Organised,76135,841740
25,32,32,Organised,3801,587833
50,78,45,Organised,36385,897317
63,52,33,Organised,21330,879554
50,65,50,Organised,60422,951707
52,33,52,Organised,68016,351499
53,47,53,Organised,25987,947749
32,33,48,Organised,96897,132624
32,29,49,Organised,21116,20714
39,33,68,Organised,97841,907951
67,64,43,Organised,33817,93255
49,48,39,Organised,1310,743137
32,50,67,Free Form,20725,959741
50,50,65,Organised,42185,295831
50,65,50,Organised,7299,793014
52,68,61,Organised,102212,155641
50,65,54,Organised,100883,189216
55,48,55,Organised,93957,662129
70,66,53,Organised,65225,900382
50,78,45,Organised,14250,480380
39,33,68,Organised,38212,806573
55,40,55,Organised,64981,341938
45,50,62,Organised,10226,64499
50,66,35,Organised,56273,83386
50,65,54,Organised,89120,920444
57,51,51,Organised,25913,781662
50,50,65,Organised,84712,825230
55,40,55,Organised,97310,607109
50,40,50,Organised,32320,880213
55,48,55,Organised,97900,628515
50,78,45,Organised,359,546374
66,51,57,Organised,21493,185290
39,33,68,Organised,47084,747078
51,37,22,Organised,56867,488829
52,68,61,Organised,81519,134141
50,78,45,Organised,108539,184527
50,78,45,Organised,33761,958454
78,22,30,Organised,19301,857670
37,38,49,Organised,87260,267659
73,59,53,Organised,6567,230851
52,68,61,Organised,67057,760252
51,38,49,Organised,89132,119222
62,55,39,Organised,60837,330721
50,65,54,Organised,88845,463157
50,78,45,Organised,24943,282691
53,47,53,Organised,90829,71062
55,40,55,Organised,80555,185779
68,52,50,Organised,17366,601093
73,40,55,Organised,93358,904099
66,51,57,Organised,105133,153627
70,66,53,Organised,39259,409239
39,33,68,Organised,8818,702961
36,36,38,Organised,27924,762766
50,65,50,Organised,44489,804577
53,47,53,Organised,108700,907431
68,47,52,Organised,102186,389261
50,40,50,Organised,61023,259413
78,22,30,Organised,31245,331028
52,68,61,Organised,65745,997657
51,38,49,Organised,46945,215426
32,33,48,Organised,6243,439370
50,35,65,Organised,39789,251817
65,50,25,Organised,53535,603036
32,29,49,Organised,40565,124362
45,50,62,Organised,33038,952729
50,40,50,Organised,85225,828209
50,65,50,Organised,96130,60684
52,68,61,Organised,71943,616380
60,51,52,Organised,77192,814955
32,33,48,Organised,29560,200468
68,52,50,Organised,92472,955055
39,33,68,Organised,28990,273237
50,66,35,Organised,95463,875225
37,38,49,Organised,23522,540766
50,35,65,Organised,62099,394738
50,65,50,Organised,15029,881354
46,53,40,Organised,36618,539401
32,29,49,Organised,24234,178846
58,68,40,Organised,62357,719734
67,66,50,Organised,84473,422430
50,40,50,Organised,8604,191320
78,22,30,Organised,81631,97589
58,68,40,Organised,101013,615009
62,55,39,Organised,46012,52067
60,51,52,Organised,12506,53709
67,56,51,Organised,76793,485530
50,65,50,Organised,9154,917415
52,30,48,Free Form,73698,744192
58,68,40,Organised,19468,342680
50,78,45,Organised,25957,238495
78,22,30,Organised,50382,778025
50,65,54,Organised,49918,301156
73,59,53,Organised,83264,910451
32,50,67,Organised,6255,468978
51,48,43,Organised,43350,974399
74,70,49,Organised,47234,802708
50,66,35,Organised,66461,518338
78,22,30,Organised,65406,646630
68,52,50,Organised,63177,375819
50,65,54,Organised,4910,415195
60,51,52,Organised,94288,662302
32,50,67,Organised,41604,751756
50,65,50,Organised,94131,357537
50,78,45,Organised,42702,468394
50,66,35,Organised,20815,215518
50,65,54,Organised,76098,320948
32,50,67,Organised,72212,757770
58,68,40,Organised,33927,639575
51,48,43,Organised,47752,186609
50,66,35,Organised,20643,515749
50,50,65,Organised,17295,898407
52,49,52,Organised,70794,215494
37,56,33,Organised,78363,121558
42,57,54,Organised,42541,993466
52,55,39,Free Form,87422,23693
52,55,39,Free Form,75733,11222
36,41,68,Free Form,78270,655855
50,66,35,Organised,42551,60568
50,66,35,Organised,85233,559718
50,66,35,Organised,75250,760628
50,66,35,Organised,19012,378465
51,38,49,Organised,56291,640346
51,38,49,Organised,25924,611955
51,38,49,Organised,29532,477388
51,38,49,Organised,15117,171735
52,68,61,Organised,55743,588782
52,68,61,Organised,100959,126513
52,68,61,Organised,6806,794535
52,68,61,Organised,8216,801249
36,34,68,Free Form,17156,780740
36,41,68,Free Form,49170,544317
36,34,68,Free Form,18612,155739
36,41,68,Free Form,108818,895506
78,22,30,Organised,68107,192303
65,55,30,Organised,9753,365412
78,22,30,Organised,61922,689430
65,55,30,Organised,23217,487076
52,49,52,Organised,18328,814911
52,49,52,Organised,75402,179535
52,49,52,Organised,68405,785888
52,49,52,Organised,34920,433297
52,55,39,Free Form,70273,597277
52,55,39,Free Form,28610,41155
52,55,39,Free Form,80785,776296
52,55,39,Free Form,35834,985717
25,32,32,Organised,33157,824226
25,32,32,Organised,21664,535904
25,32,32,Organised,39911,41229
25,32,32,Organised,45520,167931
50,65,54,Organised,107722,913798
58,68,38,Organised,31317,138211
50,65,54,Organised,10061,199472
58,68,40,Organised,81818,377749
55,40,55,Organised,28189,441568
55,40,55,Organised,73558,591417
55,40,55,Organised,52631,395213
55,40,55,Organised,82253,967303
73,40,55,Organised,70172,389573
69,40,55,Organised,105204,240547
73,40,55,Organised,85832,605084
69,40,55,Organised,76410,405518
68,47,52,Organised,75911,450913
68,47,52,Organised,98011,130724
45,50,62,Organised,67585,821225
45,50,62,Organised,7312,988140
37,38,49,Organised,91626,466029
37,38,49,Organised,82886,344665
37,38,49,Organised,88348,137602
37,38,49,Organised,29378,564601
38,45,45,Free Form,33289,977173
38,45,45,Free Form,97342,953798
50,78,45,Organised,62843,377285
50,78,45,Organised,10954,132700
51,48,43,Organised,30754,391471
51,48,43,Organised,5617,808543
51,48,43,Organised,52851,529253
51,48,43,Organised,49734,994709
56,53,52,Organised,52253,309565
56,53,52,Organised,29664,259543
56,53,52,Organised,84765,970059
56,53,52,Organised,93858,691136
32,29,49,Organised,93856,225580
32,29,49,Organised,105035,66880
32,29,49,Organised,14317,163078
32,29,49,Organised,14833,171091
52,68,61,Organised,89236,973956
52,68,61,Organised,14318,820317
52,68,61,Organised,100554,564771
52,68,61,Organised,42087,790069
68,52,50,Organised,77501,299117
68,52,50,Organised,84341,476070
73,59,53,Organised,75641,355186
73,59,53,Organised,58052,633058
67,66,50,Organised,89663,2804
39,33,68,Organised,43825,287098
38,45,45,Free Form,74136,472746
56,53,52,Organised,6907,576905
36,34,68,Free Form,52146,845939
53,47,53,Organised,60613,968122
52,30,48,Free Form,32475,67568
36,36,38,Organised,3903,226135
64,47,52,Organised,8155,943800
63,62,33,Organised,88875,48325
51,38,49,Organised,25308,962831
53,47,53,Organised,47546,834084
50,40,50,Organised,5275,86064
45,50,62,Organised,48342,581803
55,40,55,Organised,3735,49149
58,68,38,Organised,104498,922043
49,48,52,Organised,41949,194969
53,47,53,Organised,9340,475295
50,65,50,Organised,6544,460152
45,50,62,Organised,32773,947887
55,40,55,Organised,34611,884213
50,66,35,Organised,95680,863949
37,38,49,Organised,12490,472358
67,66,50,Organised,3511,698576
46,53,40,Organised,104158,744375
37,38,49,Organised,48914,310757
32,29,49,Organised,94557,793366
34,51,37,Organised,84462,566570
39,33,68,Organised,91191,75285
64,47,52,Organised,49651,691092
50,66,35,Organised,88535,6554
50,65,50,Organised,72548,153342
52,30,48,Free Form,89095,227723
69,40,55,Organised,41907,245490
55,40,55,Organised,9446,987220
67,66,50,Organised,30465,610983
37,41,56,Free Form,107635,538042
68,52,50,Organised,66391,398927
66,51,57,Organised,56735,180376
66,51,57,Organised,108937,636559
39,33,68,Organised,6830,899028
65,55,30,Organised,8714,111478
53,47,53,Organised,82044,200088
68,52,50,Organised,30047,658034
50,66,35,Organised,49320,879968
38,45,45,Free Form,79394,515926
43,54,35,Free Form,3339,685025
65,55,30,Organised,22794,702487
45,50,62,Organised,98485,758471
42,57,54,Organised,37702,299958
63,62,33,Organised,32752,981143
49,48,52,Organised,47562,545102
50,65,54,Organised,98699,818349
51,38,49,Organised,18747,723300
55,62,42,Organised,106725,997598
50,40,50,Organised,105827,929435
53,47,53,Organised,22440,521927
63,38,42,Organised,17644,37123
65,50,35,Organised,34812,676958
52,55,39,Organised,61730,169130
50,65,50,Organised,34896,265929
43,54,35,Free Form,87212,992892
43,54,35,Free Form,28349,252880
43,54,35,Free Form,48855,584197
58,68,38,Organised,5313,570849
37,36,45,Free Form,27135,962589
50,40,50,Organised,9794,112080
52,68,61,Organised,1944,539278
63,62,33,Organised,11500,759756
43,54,35,Free Form,7518,434745
50,65,50,Organised,72132,574031
32,29,49,Organised,43059,26165
46,53,40,Organised,33098,413039
32,33,48,Organised,56132,291696
53,47,53,Organised,32177,971708
55,40,55,Organised,84954,336832
45,50,62,Organised,25264,341922
50,65,50,Organised,81176,909218
25,32,32,Organised,49510,86806
37,38,49,Organised,31244,753459
67,66,45,Organised,92397,180379
58,68,38,Organised,38498,602474
32,29,49,Organised,25653,111228
34,51,37,Organised,32643,484611
60,42,42,Organised,89412,711449
70,60,62,Organised,26160,269816
50,50,65,Organised,21279,179192
25,32,32,Organised,58212,464023
32,29,49,Organised,26000,583897
50,65,50,Organised,98134,478071
32,33,48,Organised,36240,526649
25,32,32,Organised,77432,274517
50,65,50,Organised,41155,149991
34,51,37,Organised,99083,171542
32,29,49,Organised,34065,773164
50,50,65,Organised,34000,620984
32,33,48,Organised,62671,615959
50,65,50,Organised,98243,108772
32,33,48,Organised,44807,195263
32,33,48,Organised,63777,640910
50,65,54,Organised,58177,468017
63,62,33,Organised,51164,474945
47,36,38,Free Form,47039,720164
53,47,53,Organised,106524,451579
55,62,42,Organised,25617,509596
52,30,48,Free Form,13810,538415
32,33,48,Organised,31843,760404
64,33,37,Organised,28075,534981
67,66,45,Organised,72765,177113
63,62,33,Organised,30904,659172
49,48,52,Organised,49869,63303
45,50,62,Organised,93848,811003
69,40,55,Organised,27459,574920
55,40,55,Organised,76900,861138
51,48,43,Organised,75996,128004
58,68,38,Organised,93858,149971
37,38,49,Organised,39770,657821
50,65,50,Organised,68878,633501
32,29,49,Organised,39304,163034
50,65,54,Organised,37537,503969
50,65,50,Organised,7877,828933
50,40,50,Organised,53296,808226
45,50,62,Organised,72538,567355
51,38,49,Organised,14571,60709
53,47,53,Organised,30345,60562
55,40,55,Organised,67903,888251
32,33,48,Organised,82721,819840
56,53,52,Organised,59622,691726
43,54,35,Free Form,87283,163673
51,38,49,Organised,44401,26273
45,50,62,Organised,101512,967703
55,62,42,Organised,44040,787000
50,40,50,Organised,779,302017
25,32,32,Organised,67044,280167
32,29,49,Organised,91047,167518
52,68,61,Organised,61632,483602
56,53,52,Organised,41697,365622
32,33,48,Organised,31309,798296
50,65,50,Organised,48082,135960
34,51,37,Organised,66724,364893
32,29,49,Organised,11938,15131
50,65,54,Organised,78270,975779
50,65,50,Organised,98871,343556
55,62,42,Organised,85336,589326
42,57,54,Organised,40987,507534
60,42,42,Organised,35957,162119
52,49,52,Organised,78733,525020
32,33,48,Organised,31647,142311
67,56,51,Organised,52119,308820
46,53,40,Organised,11621,38518
66,64,49,Organised,311,225193
51,38,49,Organised,31982,667503
55,62,42,Organised,64445,386885
37,38,49,Organised,28957,959246
50,65,50,Organised,52661,394552
50,50,65,Organised,98920,684630
64,33,37,Organised,22279,99228
67,56,51,Organised,100501,230929
69,40,55,Organised,16304,106572
32,29,49,Organised,5272,965361
56,53,52,Organised,93072,112706
70,60,62,Organised,33623,169084
50,65,54,Organised,95224,581317
50,65,50,Organised,74763,687366
53,47,53,Organised,83997,716826
68,58,50,Organised,33185,406740
32,66,37,Organised,106987,544478
50,65,54,Organised,27539,847241
56,53,52,Organised,28310,430237
50,65,50,Organised,98660,332837
60,42,42,Organised,38072,955455
38,32,32,Organised,44488,674719
64,33,37,Organised,71600,324228
45,50,62,Organised,65600,909587
34,51,37,Organised,51741,73733
50,35,50,Organised,51781,89674
50,40,50,Organised,68027,433975
52,55,39,Organised,67945,689274
63,62,33,Organised,17207,691313
66,51,57,Organised,49073,809433
67,56,51,Organised,87150,933932
53,47,53,Organised,53551,437295
69,40,55,Organised,67923,902913
45,50,62,Organised,6551,482640
32,66,37,Organised,31273,229653
30,61,66,Organised,104111,166140
50,65,50,Organised,2608,783800
52,55,39,Organised,69439,619144
61,62,57,Organised,106452,805341
