V2,V4,V10,l_id,index
1339,30238,124,15858,67884
16,55629,119,75,66850
1333,68506,119,3438,57626
1333,75681,124,3169,7289
1335,97213,125,419,42848
71,143858,132,5086,93634
836,128981,125,2753,45106
1330,1543689,127,5104,61886
1332,1564476,133,3674,71918
1333,1581956,132,6865,75648
1332,1599173,133,12934,47739
1332,1647954,132,2190,55930
1334,1669028,127,7520,93919
1334,1682947,134,12997,8692
1332,1738114,132,3479,59827
1334,1772598,126,13445,72692
1308,2369561,135,4334,94678
1321,2396392,141,17550,47031
1316,2413186,127,13517,28694
1466,5851560,143,2242,21685
1373,5877670,143,5786,45600
1455,5897955,141,17703,71308
1448,5921348,141,6995,78376
1437,5948472,140,803,61474
1395,5971616,143,1535,71169
1457,5996739,140,9100,1412
86,6245776,140,14775,83835
132,785285,157,19297,55067
631,1934337,125,11644,44185
635,1954686,127,10368,100207
636,1970877,134,10766,73372
635,1981483,135,10080,70706
636,1997506,132,486,16514
639,2003457,143,8302,9621
635,2014317,132,16088,98419
637,2020117,141,7827,50011
632,2030738,133,6487,11586
632,2036297,133,7919,32983
632,2046183,143,18267,62014
632,2056391,133,1781,41845
633,2076679,141,5318,70313
632,2086116,127,4717,66010
633,2095693,140,19926,13455
631,2104879,127,13689,58516
630,2113824,126,7696,27301
630,2122284,134,13945,27187
623,2163487,127,15655,82417
625,2172874,125,191,92940
622,2182079,126,265,9711
622,2188232,127,4649,57159
623,2197376,127,4473,53137
622,2206572,134,13446,11808
622,2215730,133,1664,55780
622,2224928,127,9029,56021
622,2237099,127,8539,60422
49,735624,130,2015,85914
1348,356016,132,18800,63747
1102,3028556,123,16283,32649
210,612252,135,3045,92885
1170,32926,134,11433,99182
392,228429,127,14013,85233
850,231443,134,359,100109
402,2513182,126,3184,43960
1360,4807479,109,10248,97194
1336,4848269,117,11299,47511
1173,466057,122,9014,52606
564,51952,119,3377,36893
374,303262,127,15916,99864
943,3020360,126,13607,94393
528,1346908,125,13907,73837
1347,70241,124,724,39494
492,1263637,125,19266,98512
740,1503546,119,5323,59980
444,1587191,135,449,47047
132,7458,139,2875,17365
900,1099516,129,12976,54277
538,2922536,130,16340,60318
99,690120,135,13711,94460
115,203987,134,4634,31121
396,133203,135,17851,32963
944,597966,127,2100,84499
1017,673860,125,1893,71466
963,731423,119,2850,98147
1305,817245,133,3260,6165
1124,861921,132,13618,92051
1314,968164,132,10259,44759
947,1035264,127,15457,34999
572,1074276,134,6221,89958
381,1131524,125,15746,69839
1616,1168994,110,14969,56558
758,1199753,134,12246,60450
199,1290103,145,4771,78684
1573,1658959,118,19405,19417
779,2070121,127,5494,32748
1642,2097080,109,6292,69891
142,2243932,135,8354,41776
531,2455644,135,17200,50812
986,2563708,119,17339,72416
1637,2637334,109,16587,20462
976,2690135,119,7054,74106
1135,2829653,132,19924,3775
571,2993160,135,2574,67024
1348,3023381,127,9114,37899
1370,3378474,133,5072,1239
521,3406376,133,1591,69970
1620,3457651,109,13616,60773
544,3581267,127,16957,98394
1402,92896,124,19138,19702
757,113291,124,2051,5589
607,140756,132,9003,52124
692,328453,127,12466,86508
914,414931,118,7036,17586
380,484208,135,12281,39211
1638,589752,109,10775,79260
223,625588,132,518,82856
124,800138,132,6611,19311
92,902622,132,562,31497
140,970972,131,11127,25972
120,1046583,133,7597,16409
88,1082521,126,18460,80058
1066,1250629,127,11817,93145
547,1294979,133,10206,91057
960,1388304,119,414,48353
556,1540636,133,14708,2319
128,1566638,119,17707,65351
1071,1593992,135,2891,65168
1096,1635864,134,18368,89575
1539,1758011,111,5939,12286
33,2089996,109,19836,77726
168,2274383,133,19674,271
1030,2315030,124,8542,19501
38,2488282,110,18713,75790
891,2921970,118,11069,48932
292,2946700,133,10350,15317
1262,3294616,127,5799,54699
1326,3426590,124,3641,62833
447,3579140,132,11917,11885
1681,951917,101,19063,25649
1689,990624,82,18119,80438
1684,1161649,93,7092,61886
1687,1465360,86,12177,19982
1665,2961953,103,14544,52984
1656,2987515,111,19308,77498
1647,3009096,109,2313,14894
686,3379344,132,424,8368
1590,3403364,109,12170,98500
734,3857548,132,14744,84711
768,3896740,127,966,51037
198,3942263,134,9645,50038
355,3962304,124,920,36389
151,3986268,125,765,7291
879,4048602,117,735,56305
404,99644,142,9529,95461
518,257770,132,4235,37310
1156,728304,132,6670,63480
260,961371,125,8974,60189
693,1620667,133,11390,49924
24,1709661,135,16675,67000
1167,1804016,134,7300,15761
928,1862728,126,18449,19856
27,1988984,132,11024,47030
64,2014368,134,19393,10844
214,2039135,132,426,48364
1332,2063003,124,13652,13673
490,2102099,127,17942,46730
1324,2166078,132,8637,55777
23,2433491,127,2421,42672
837,2451296,134,17983,21480
733,3320092,124,12362,73151
603,3384556,125,14045,89063
1058,3577127,132,8265,81343
1322,4118372,119,6638,41567
470,4165792,127,2910,66070
497,4186988,141,15899,86693
226,921104,148,14623,50161
586,1581952,159,12788,17165
1592,1612870,111,17073,79806
982,1659760,124,8915,90572
1296,1695447,133,2635,92335
1293,1715307,127,15368,10118
67,4121214,127,1041,57143
732,5260250,134,8683,72028
1376,5492091,140,10282,70797
222,5521708,150,5347,45735
1358,5550899,141,1695,32456
169,5714652,151,7268,16998
313,836771,134,17428,55836
1056,1276817,135,8221,55207
1273,1592247,149,8389,36413
239,1785787,141,4403,18593
823,119932,103,2154,28001
695,890940,124,5089,17516
1170,2173340,124,8159,10867
927,3597517,143,2953,27522
1154,595245,126,13882,34486
1325,971551,126,11922,75118
567,1130901,124,9133,16943
1263,1349811,125,8359,2405
1285,1954498,132,5180,94918
678,2134950,124,3572,19570
1187,2488541,124,19932,51509
1316,2633484,134,3502,25162
931,3178563,126,4811,91801
329,9754906,126,9430,91690
