index,V8,V9,V10,V26,spf_id
4974,45269,78,126,-0.2035,277831
18548,26902,75,125,-0.1854,446106
17936,20267,102,143,-0.0575,295926
17889,16571,99,143,-0.0481,996815
16778,14471,97,143,-0.05,152950
14039,31058,91,151,-0.0559,152459
9442,34055,106,156,0.004,405286
6866,13943,120,150,0.0374,756005
16335,19711,103,156,0.0,807793
14255,18695,101,156,0.0073,245709
8354,15858,116,143,0.0072,54937
13690,6632,108,132,-0.0748,386718
13362,25563,100,132,-0.1163,52228
575,39043,71,117,-0.3004,336738
17672,9155,99,118,-0.1485,358337
10754,7752,109,140,-0.0387,542686
13414,154035,80,116,-0.2431,246414
1337,248809,96,127,-0.1426,633768
7698,62926,104,135,-0.0564,53435
3080,41476,92,127,-0.1797,75199
5125,32335,79,118,-0.2844,327274
10581,22913,98,125,-0.1268,581686
16300,8781,46,86,-0.4918,934372
209,20642,47,95,-0.4515,363551
2517,6820,86,110,-0.2496,707779
541,6593,109,126,-0.0802,277956
14486,5912,97,132,-0.1447,405658
941,35427,78,101,-0.3081,110714
19564,9467,105,127,-0.098,302166
7821,7659,98,125,-0.1328,316863
4879,13595,106,134,-0.0683,973512
1871,15719,89,111,-0.2228,33451
2942,4557,70,93,-0.3754,973164
8971,4347,36,84,-0.5411,611137
19829,8535,104,127,-0.1109,254135
2241,85268,94,124,-0.1535,339386
12725,611544,93,143,-0.0496,67738
12922,34230,84,111,-0.2424,294018
10119,5608,85,103,-0.2574,42759
10346,8915,109,132,-0.0588,527450
12882,6106,101,124,-0.1327,869804
17243,21964,33,84,-0.5678,587569
17670,13148,95,118,-0.1649,880225
2012,8388,95,119,-0.1599,980646
17964,6374,90,116,-0.2096,749354
5526,20000,105,126,-0.0809,173214
16077,13549,97,124,-0.1464,212396
1464,83716,77,118,-0.2601,554160
4812,8233,40,78,-0.5373,960302
5193,51661,97,134,-0.091,195078
9571,11154,87,111,-0.222,210843
13166,8824,113,135,-0.0291,786321
3213,8235,97,124,-0.1645,188359
6249,60260,51,93,-0.4202,834785
15401,145129,22,86,-0.6096,41184
8815,53750,29,84,-0.5644,393839
16696,31515,43,78,-0.5274,414511
12207,110127,102,133,-0.0828,149871
16510,479002,82,148,-0.1328,530198
18114,110993,95,133,-0.1285,455257
16357,63194,96,125,-0.1561,706736
17162,608995,43,108,-0.3475,368796
15023,61231,40,79,-0.5282,418665
3700,202537,95,135,-0.113,771658
5470,60005,90,126,-0.1819,430530
4815,316233,82,133,-0.1407,456516
7397,198389,44,101,-0.3758,706583
18231,83627,105,132,-0.0785,798077
10324,121595,89,132,-0.1725,408871
10040,365943,78,124,-0.2498,522997
4441,63480,90,117,-0.191,14414
1321,66181,110,135,-0.0425,900580
18824,77691,94,127,-0.1254,232453
2898,8477,113,140,-0.0115,154894
6172,126759,81,118,-0.2654,599866
14462,26694,86,116,-0.213,603619
6723,17295,114,141,-0.0209,761483
9451,12602,102,132,-0.0968,827048
5158,8027,98,119,-0.1525,971080
10125,917886,95,141,-0.0538,893406
17762,19460,96,118,-0.1737,777501
6702,19650,52,94,-0.3908,837137
18413,6819,98,124,-0.1408,445718
12060,6685,102,124,-0.1296,512694
1034,6483,109,127,-0.0791,700362
12502,14875,42,85,-0.5178,151324
12927,6135,102,124,-0.1124,386292
8203,15896,111,140,-0.0298,779326
15624,4499,51,117,-0.3108,418695
9138,5695,81,109,-0.2706,598720
509,84461,96,126,-0.154,499467
8563,59901,105,141,-0.0508,635015
1893,6757,95,115,-0.1879,934797
1705,14757,93,118,-0.1646,569543
1820,8566,93,111,-0.2127,52558
4927,3095,41,71,-0.5902,841373
18704,25660,104,125,-0.09699999999999999,898982
10702,8327,103,126,-0.1088,823174
18961,30518,95,125,-0.1664,212963
11469,38672,80,118,-0.2253,528211
10279,5376,95,111,-0.1923,367302
12447,9733,89,113,-0.2241,924471
9969,6834,102,124,-0.1247,708975
6905,7384,89,109,-0.2308,470351
4366,63525,73,117,-0.29600000000000004,595232
14835,22534,104,127,-0.1018,365208
2395,7216,102,124,-0.1191,449635
1209,13185,90,117,-0.2076,465063
18985,24463,103,125,-0.1111,87423
8909,18774,92,116,-0.17600000000000002,562618
11555,16678,96,120,-0.1594,404758
10948,71852,49,84,-0.455,986464
848,15545,99,125,-0.1325,346877
12687,132939,70,118,-0.2935,280914
6372,7588,100,119,-0.1408,656215
16405,29896,117,143,0.0111,657775
12990,19591,105,127,-0.0944,512472
5810,46236,91,118,-0.1883,277942
19440,27599,100,124,-0.1199,263282
17162,12056,111,132,-0.0486,70219
8379,6146,104,125,-0.127,988813
4252,103898,106,133,-0.0702,327185
10462,7286,102,126,-0.1106,755845
18649,6260,96,117,-0.1849,227624
2836,12834,90,125,-0.1645,357068
10085,38597,110,140,-0.0397,224360
15638,7309,112,132,-0.0639,551943
17223,28728,86,135,-0.1129,856410
12568,49765,80,116,-0.2362,838199
3924,16633,84,116,-0.2356,541211
6058,8246,95,117,-0.1741,296336
1657,6861,76,109,-0.3039,319875
1094,10702,116,140,0.0073,349924
16936,6490,96,118,-0.1688,572224
2728,4931,41,84,-0.5185,89247
14833,5546,99,124,-0.1504,35887
2731,7050,111,135,-0.0504,869215
17392,7114,112,133,-0.0418,146561
9060,16308,115,140,-0.02,172335
3032,11647,89,110,-0.2223,74106
1419,50867,86,118,-0.18899999999999997,335630
12590,31789,85,124,-0.21899999999999997,784857
6103,18517,88,119,-0.218,441201
15786,5957,89,111,-0.2112,857491
6379,11516,84,117,-0.244,88102
13566,5652,75,101,-0.331,99706
13467,26356,84,118,-0.2317,651879
11025,11843,109,134,-0.0654,860264
9232,19139,86,109,-0.24100000000000002,895968
2421,8106,79,101,-0.3041,336069
7132,12465,72,109,-0.3142,297421
9911,6133,91,117,-0.2014,648818
14031,5573,81,103,-0.2743,842577
1218,15313,93,111,-0.1971,245105
5004,12424,112,132,-0.0576,692946
13887,9214,90,108,-0.226,591119
13448,11748,87,124,-0.2019,569685
7230,96937,48,101,-0.3705,283374
18886,11293,90,116,-0.1906,138482
4823,150413,85,132,-0.1429,713539
13389,8123,81,110,-0.2788,321467
15404,62326,89,132,-0.1397,926935
8503,5940,47,77,-0.5216,327347
10183,14997,91,117,-0.192,740860
13094,26503,108,148,0.01,306932
2724,3673,48,77,-0.5217,890475
18355,17100,85,111,-0.2278,172559
18004,6886,84,111,-0.2423,507550
19756,52482,76,109,-0.2906,98039
7854,5267,90,109,-0.2236,878343
13116,16865,90,125,-0.1388,614959
7105,9208,105,132,-0.0777,700614
3189,10847,104,126,-0.0985,249650
7622,36566,81,119,-0.2402,491775
9961,6323,41,70,-0.555,972506
7521,160372,81,126,-0.188,920567
12332,18361,80,118,-0.2529,815820
9734,4643,43,86,-0.5227,258828
12121,18720,80,110,-0.2651,505716
1795,6657,81,108,-0.2675,109320
2606,7151,92,118,-0.1903,565573
4774,5907,105,125,-0.1125,782483
2761,42620,119,135,-0.0178,724564
10987,19453,120,134,-0.0195,79727
10456,78470,119,135,-0.008,150878
11639,17707,119,133,-0.0258,400435
9509,65223,120,142,0.0031,455727
10137,20312,122,140,0.0044,258116
168,20131,122,140,0.0082,113365
18374,40573,122,141,0.0159,321937
18890,17505,87,111,-0.2402,332179
17516,16908,105,133,-0.1014,448837
18969,185716,93,133,-0.1628,478929
19321,15035,118,135,-0.0212,131352
15573,214243,101,135,-0.0722,452507
4042,14323,107,126,-0.0976,173233
9123,13662,106,127,-0.1031,137442
4531,15147,109,126,-0.0897,231413
9233,395668,78,127,-0.2039,317280
14626,32358,96,126,-0.1431,716316
14426,13094,168,198,0.4208,692933
2071,12872,178,207,0.5237,12053
15200,10855,168,189,0.3902,288775
18630,14016,157,206,0.46,579769
1968,79713,77,221,0.4058,42083
14317,15483,195,213,0.5916,500332
15482,28697,172,212,0.4946,644344
18586,181730,68,236,0.5917,475998
19698,15069,196,210,0.5909,560116
15840,27180,192,207,0.5613,187983
18414,21840,195,212,0.5799,705634
17276,13025,163,188,0.3751,351060
12155,9968,178,207,0.4976,228666
8580,13099,164,205,0.4831,313427
8188,11189,178,198,0.4569,739790
5126,12624,177,191,0.4504,386533
13576,11255,143,174,0.2561,428222
15334,69672,48,189,0.08,542347
6450,20974,118,174,0.1704,56837
8205,17174,123,181,0.2423,136449
10862,14369,128,164,0.1693,589445
16598,13311,141,182,0.2839,418242
9389,14041,139,181,0.2905,209896
13408,9848,161,183,0.3498,7499
694,12593,150,180,0.3118,212246
1344,14538,134,183,0.2907,402787
1053,14808,148,182,0.3146,482435
2543,8857,161,182,0.3307,343310
4829,8801,159,181,0.3223,50852
11851,11132,161,182,0.33799999999999997,690341
1084,10518,156,180,0.3043,295670
13369,16760,148,182,0.2964,651798
17154,14703,128,175,0.2486,149907
12997,9033,158,181,0.3315,678921
19062,233778,49,124,-0.2254,95612
6849,175110,6,119,-0.35100000000000003,949403
10619,21216,36,127,-0.2698,650901
19925,21639,33,127,-0.2682,676260
18153,19202,68,124,-0.2267,648420
1633,23671,43,129,-0.2513,919620
19729,18625,61,126,-0.1685,443237
15338,49867,70,103,-0.3117,363025
12003,49303,54,93,-0.4119,416140
19633,11591414,0,156,-0.4068,687810
4566,3037459,24,148,-0.0629,777426
2488,2554885,21,148,-0.0545,189103
3171,3061597,23,148,-0.061,471115
3128,2935414,22,143,-0.0588,75615
16542,2529140,18,143,-0.0543,499558
6964,2499819,25,143,-0.0577,337794
3644,2712104,27,150,-0.0606,483747
12715,2638402,21,143,-0.0625,980449
3559,2519511,24,143,-0.0643,428374
14695,2020624,24,143,-0.057999999999999996,848284
14804,2144244,24,143,-0.0681,794705
12925,2332320,22,143,-0.0717,744280
17989,2156667,21,143,-0.057999999999999996,974725
11628,2230510,25,150,-0.0589,883537
8315,2155523,24,143,-0.0553,91127
833,2013557,19,150,-0.0572,415862
12284,1992604,21,149,-0.0577,427016
14803,2147442,24,148,-0.0525,694371
17105,2160349,27,148,-0.066,127145
10869,2264960,24,143,-0.0641,691260
1495,2225392,22,142,-0.0799,175100
18916,2400588,23,141,-0.0767,802322
7804,2155986,25,143,-0.0747,723781
557,2034432,27,142,-0.0843,773955
5610,2236201,25,143,-0.0783,323846
8334,1734628,27,142,-0.0935,475310
5398,1939163,27,143,-0.0801,631723
1753,2094532,25,142,-0.0812,662770
7793,12817,123,140,0.0013,435579
14804,44478,120,134,-0.0184,775825
15266,1972773,29,141,-0.0838,971817
17816,1847157,31,141,-0.0945,366714
6995,1847464,22,143,-0.092,500063
376,16028,120,134,-0.0217,326392
10342,1877827,19,141,-0.0955,355811
2951,1720418,22,141,-0.1017,374672
17291,1751637,21,141,-0.0907,941747
15197,1508093,29,141,-0.096,600558
13748,1976551,26,143,-0.09,833599
17082,1936241,25,143,-0.0879,870449
14470,1758655,27,142,-0.0821,257961
6299,1579135,25,141,-0.0929,856211
5456,1546189,29,141,-0.0977,26026
13763,1868220,23,141,-0.09699999999999999,149217
15362,117325,119,135,-0.0197,332873
18472,1835252,23,143,-0.081,212976
19066,1302540,27,143,-0.1033,525672
11519,1798470,24,142,-0.0885,621525
7138,1630309,29,140,-0.0886,581552
1243,1315891,29,141,-0.0973,313316
9133,1567858,30,141,-0.0962,478002
2825,1814409,25,142,-0.0974,122957
1965,1381722,30,141,-0.1013,135065
5471,1375431,32,143,-0.0951,694487
12624,1297285,27,141,-0.1008,956138
2086,1398637,27,141,-0.1052,254058
16766,68416,119,135,-0.0083,450597
19869,86417,120,140,-0.0028,91001
12385,1187807,25,141,-0.09699999999999999,651168
14030,1327403,23,141,-0.10099999999999999,144603
15850,101435,119,140,-0.0019,448175
14913,1339579,26,143,-0.0893,362008
18232,1261668,28,141,-0.096,3557
18151,1642086,26,141,-0.0882,374012
15809,1431766,29,143,-0.0971,352161
1790,1402972,34,141,-0.0948,770933
19757,1635177,33,142,-0.084,540203
7874,1550152,31,143,-0.09,82039
12531,1482862,29,143,-0.0899,460137
15731,1661835,31,141,-0.0927,103651
18026,1691554,29,143,-0.0788,587136
16664,1424210,33,141,-0.0924,215231
12629,1529932,30,141,-0.0935,571630
2970,1507625,33,141,-0.1019,464157
1631,1245388,38,141,-0.0988,914529
19072,1320194,27,142,-0.1035,153261
15569,1577022,30,141,-0.0949,540477
11868,1442027,36,141,-0.0971,568338
19805,1459713,31,140,-0.1033,516257
7049,1507763,32,140,-0.0979,168518
14622,1585785,37,141,-0.0956,366778
8774,1456542,27,141,-0.0903,58206
178,1270726,31,143,-0.1047,2989
12647,1308444,30,135,-0.1271,443056
7376,1508999,37,141,-0.096,707637
12582,1248379,25,141,-0.1063,312629
6571,1383987,33,140,-0.1028,389872
12814,1299720,31,141,-0.1058,636857
12603,1311391,36,140,-0.1003,34878
16808,1361903,27,141,-0.0993,328873
16284,1515722,35,141,-0.1031,81557
15550,1367596,36,141,-0.0952,951776
16214,1293558,35,141,-0.0986,735991
9829,1245114,33,141,-0.1059,546877
15743,1505833,35,143,-0.0976,860873
1866,1439221,31,141,-0.0997,903091
10424,1452456,37,141,-0.0933,955474
7747,1330937,40,141,-0.0966,424990
18800,1487763,37,141,-0.0944,958828
201,1196792,33,141,-0.1035,516801
17926,1098162,37,141,-0.1041,324033
10406,1239926,38,142,-0.0983,271525
9348,1303229,40,141,-0.1077,71037
13498,1246740,40,140,-0.1098,303136
7788,1238454,36,140,-0.1059,646072
9690,1068391,38,140,-0.1072,854551
7298,1338028,42,140,-0.0943,906530
4766,1133850,39,140,-0.1077,401885
4234,582040,34,135,-0.1761,69244
9820,513464,40,127,-0.1781,145084
17674,1083941,41,141,-0.1071,743295
2093,1273434,44,142,-0.0944,589577
5899,527906,39,127,-0.1743,308534
13575,601643,47,127,-0.1757,285817
6898,1084425,41,141,-0.1099,725109
2525,637883,48,135,-0.1634,904060
10592,598575,42,135,-0.1675,429313
3803,1095577,39,140,-0.1067,838799
17887,1059263,40,141,-0.0988,1192
3282,1001426,41,141,-0.1034,922286
19882,1130960,42,140,-0.1068,71697
14659,971036,38,141,-0.10300000000000001,497436
3723,259127,118,141,-0.0013,862706
8634,593650,42,127,-0.1708,405341
3320,996980,47,141,-0.1057,629923
7977,598862,43,135,-0.1609,608923
7804,764,123,134,-0.9989,635518
16155,491662,38,127,-0.1713,75423
18748,1025103,35,141,-0.1059,55519
10782,553974,46,127,-0.1774,717150
3563,618954,41,135,-0.1562,304348
17399,245067,120,140,0.0029,75647
1646,353617,114,140,-0.0102,905741
6240,678752,41,135,-0.16899999999999998,502223
18098,945879,52,141,-0.1144,996433
16840,889727,49,140,-0.1309,15334
17329,588758,53,135,-0.1606,1233
16059,701931,55,141,-0.1427,283547
2697,497404,33,124,-0.2094,874545
15200,600689,38,133,-0.1848,333888
5945,470165,39,135,-0.1785,791387
1786,47481,115,135,-0.034,517648
7250,33858,115,135,-0.0416,30928
12856,427024,48,127,-0.1893,629650
18464,408392,39,127,-0.1857,448558
2688,439309,38,127,-0.1873,907005
14893,457632,38,126,-0.188,761285
10365,312375,116,140,-0.0092,641045
4195,407966,29,135,-0.1853,701926
16185,12531,118,135,-0.0307,703714
1003,432500,37,132,-0.1819,710957
936,445047,42,126,-0.1749,608262
7951,470618,40,127,-0.1806,713065
4522,343029,42,125,-0.1938,68925
15150,378154,45,125,-0.1864,998626
11797,380538,43,127,-0.1879,42642
12221,391378,40,126,-0.1924,253926
3614,384266,37,126,-0.1893,754218
11250,407075,38,124,-0.192,516832
13331,342248,50,125,-0.1866,307197
11513,379850,46,124,-0.1916,902923
9524,354240,45,126,-0.1948,347348
15582,426267,40,126,-0.1923,697245
5954,379668,43,125,-0.1909,415812
16345,450619,45,126,-0.1872,497139
17218,421512,50,126,-0.1865,886508
12611,413005,41,126,-0.1903,449693
19882,417578,41,125,-0.1883,264009
4085,456908,47,125,-0.1904,678622
16894,407163,45,125,-0.1885,658005
2283,522331,49,126,-0.1843,528271
6978,659058,54,127,-0.1925,943154
6863,649441,55,124,-0.1834,909962
5796,645016,51,134,-0.1833,495227
18318,648220,48,133,-0.1874,131018
11912,28034,116,135,-0.0436,852789
7364,612067,47,126,-0.1864,915694
14573,591835,45,126,-0.1891,756024
4038,608466,42,126,-0.1877,340708
4825,25309,115,134,-0.0448,894577
3581,24389,114,134,-0.0473,48486
13212,618937,43,125,-0.19,170244
18243,627913,39,126,-0.1901,41723
8651,637317,45,125,-0.1895,57039
10046,600867,41,124,-0.1887,594531
3281,618605,45,126,-0.1865,99340
9802,651641,43,125,-0.18899999999999997,476194
2852,622760,45,125,-0.1902,91066
17026,647587,47,124,-0.1961,403571
9816,644765,38,124,-0.1911,863340
6109,626256,45,125,-0.1925,806219
546,637707,49,127,-0.1855,442795
5371,638448,44,127,-0.193,380124
342,301138,116,140,-0.0222,621260
16066,588714,40,126,-0.1924,993273
2684,266914,113,135,-0.0292,995665
15288,598890,49,124,-0.1957,99147
6131,246168,115,135,-0.0193,709605
4299,241083,116,140,-0.0206,83333
6072,589956,132,132,-0.2309,892753
8937,610139,40,127,-0.19,992929
3707,263590,115,135,-0.0231,741936
12613,658914,41,124,-0.1902,448532
326,660910,38,124,-0.1937,512027
19209,688430,37,125,-0.1944,510483
14848,656298,45,125,-0.1854,713087
18674,659350,39,119,-0.195,81003
12118,723789,36,125,-0.1942,922859
548,654684,41,127,-0.1929,479211
18733,746545,40,119,-0.1955,126934
5947,671353,38,127,-0.1923,684377
17771,732196,43,126,-0.1827,802760
18576,686124,41,133,-0.1953,88196
7644,227896,114,135,-0.0292,608447
13514,677554,36,125,-0.1933,539480
12514,645839,38,124,-0.1875,389542
13238,657020,37,125,-0.192,2919
14807,612746,38,119,-0.2044,38158
2738,669161,46,126,-0.187,606261
13662,647595,43,119,-0.1939,934758
15775,590664,43,124,-0.1913,353643
7617,641502,39,127,-0.1924,480834
8242,672664,43,125,-0.1916,744827
9357,705056,42,127,-0.1933,307790
14808,670952,43,126,-0.1838,953920
10682,674120,41,124,-0.1921,155756
550,691010,36,124,-0.1917,229772
8858,686356,42,124,-0.1906,521251
7079,685447,44,124,-0.1881,474950
15846,255,126,133,-0.0039,724742
18433,701946,38,124,-0.2,492375
1642,679238,39,125,-0.18899999999999997,925585
4307,700391,37,124,-0.1925,91680
16781,687345,36,124,-0.1969,66898
18075,685894,41,124,-0.1956,452254
8196,699635,36,126,-0.1981,311944
18714,674367,38,124,-0.1926,601998
7956,684731,38,126,-0.1901,88734
13255,689961,40,126,-0.1887,718556
2402,666047,40,126,-0.1975,195870
11291,230162,115,135,-0.0243,733193
17730,666662,39,124,-0.1902,927642
14827,669614,36,124,-0.1939,121666
18574,709363,38,126,-0.1943,300083
7005,684236,36,124,-0.1919,859124
6462,676077,41,125,-0.1865,548402
17148,735371,42,126,-0.1837,570379
19019,725465,43,125,-0.1888,223360
5606,688556,38,127,-0.1853,853463
11428,750685,35,126,-0.1996,653002
14596,724819,43,124,-0.1908,144869
5947,723643,41,124,-0.1858,47822
11191,349157,115,140,-0.024,509890
9104,687299,44,124,-0.1855,233042
12768,676562,43,125,-0.1867,449194
8119,675748,43,124,-0.1848,664096
7338,666455,41,126,-0.1863,172219
7340,683149,39,127,-0.1808,19844
830,722716,39,127,-0.1861,345444
78,706929,42,124,-0.1834,288909
3483,624180,39,124,-0.1906,11101
1478,647965,40,126,-0.1935,108607
8818,250,120,130,-0.0234,362927
11738,626586,39,126,-0.1855,564250
3612,614522,38,125,-0.1908,72199
9757,649801,39,124,-0.1876,359788
15042,654358,42,126,-0.1861,755324
12491,658162,41,125,-0.1851,968361
8158,711671,40,124,-0.1856,958948
3857,639433,36,124,-0.1911,622787
11869,640970,41,119,-0.1904,645412
18024,675659,40,127,-0.1821,105322
11035,602131,40,125,-0.1823,71834
19235,648910,36,126,-0.1926,567782
10391,269308,116,135,-0.0259,833470
6269,588321,37,124,-0.19699999999999998,669894
13130,673434,44,124,-0.1871,518514
3903,674326,46,127,-0.1744,469978
15556,648169,46,124,-0.1884,857709
2413,579951,43,125,-0.1827,394700
17905,618320,51,127,-0.1694,211485
18993,649139,43,124,-0.1865,886443
3356,633606,47,127,-0.1852,997767
12002,626007,41,126,-0.1797,64823
4471,208514,115,135,-0.0332,580476
2008,660758,45,127,-0.1818,696239
16861,690169,33,124,-0.1909,761285
7007,660291,40,126,-0.1847,578686
5353,654634,42,126,-0.1879,952878
12870,635284,40,125,-0.1874,503287
17404,685717,43,134,-0.1799,970910
6658,654471,40,124,-0.1858,340800
18250,30451,115,132,-0.0522,427962
8813,648030,39,126,-0.1797,314596
17120,622528,42,126,-0.1852,930747
5496,608295,44,127,-0.1871,601028
3011,26683,109,134,-0.0481,623354
9800,668126,37,119,-0.1877,764021
18186,677593,40,124,-0.18600000000000003,688620
4135,669129,43,119,-0.1895,286192
3847,659881,41,134,-0.1794,184628
12902,635475,42,124,-0.1969,581191
357,682403,41,126,-0.1809,656111
12082,723207,48,124,-0.179,730083
13901,693100,42,124,-0.1861,28106
1484,20714,114,132,-0.0481,271067
11065,734568,40,127,-0.1805,149988
6267,685255,40,119,-0.1851,885132
7023,649137,48,125,-0.1736,576913
13219,661448,43,124,-0.179,8907
3913,667465,46,126,-0.1746,151797
19425,581466,43,125,-0.1739,944692
14053,584291,43,126,-0.175,234052
17323,652005,46,127,-0.1751,472751
2725,598976,43,125,-0.1773,784207
13891,618846,48,126,-0.1704,624156
17235,617639,44,127,-0.17,614460
3851,614756,44,125,-0.1762,61356
9151,435821,64,127,-0.1655,974176
675,456305,65,127,-0.159,965899
2747,516343,63,127,-0.1575,665373
15473,477354,68,127,-0.1557,124238
9103,439881,56,127,-0.1558,278603
12340,473046,65,127,-0.1496,909310
19695,431127,66,127,-0.1497,82391
15264,373412,67,127,-0.1556,558408
5160,474761,68,127,-0.1563,769778
6031,479531,74,132,-0.1415,935447
1360,417036,73,127,-0.14800000000000002,315181
10594,425840,71,127,-0.147,335594
659,419968,70,127,-0.1535,945664
3123,1445817,27,124,-0.2148,129736
5327,1594353,26,126,-0.22399999999999998,499434
16564,1328712,29,124,-0.2224,918960
10519,1732196,23,140,-0.1353,895747
6866,1741571,22,143,-0.1053,796222
19453,246531,35,95,-0.4221,724446
10506,260660,36,103,-0.3807,493985
6357,265172,35,103,-0.3797,720471
