V22,V23,V24,i_id,index
2.4232,0.9542,1.7404,10599,9393
2.0212,0.9031,1.3802,1433,1273
2.1875,0.9542,1.3424,8800,9161
2.1614,0.9542,1.3222,7422,4723
2.0899,1.2787,1.1461,6822,73
1.7482,1.0792,0.7782,14070,3885
2.3541,1.2041,1.3979,10230,3733
2.6395,1.0792,1.7482,15676,371
1.9243,1.0792,1.0414,7623,5233
1.7993,1.1461,1.0792,4072,1035
3.2014,1.3222,2.2279,9474,6615
3.3554,1.6128,2.1644,10603,8819
2.7168,1.5441,1.6628,5152,1016
2.5966,1.1139,1.7404,15572,7448
2.5478,1.2305,1.699,5872,1764
2.3117,1.0792,1.5441,11448,9007
2.1303,1.0414,1.301,15546,931
2.4683,1.0792,1.6233,7470,6023
1.8513,0.9031,1.1139,2243,1868
1.7482,0.7782,1.2553,11799,6951
1.7324,0.9542,1.1461,1767,1554
2.6021,1.2787,1.5315,12318,2534
1.9138,0.9031,1.2553,1989,2939
1.8389,1.0,1.1461,12841,10872
2.0569,1.301,1.0792,12993,5876
2.1987,1.2041,1.2787,7389,6004
1.7559,1.0792,1.0792,10085,3248
1.8692,0.9542,1.0414,12822,6513
1.8751,1.1461,1.0792,8952,1674
2.8960000000000004,1.3424,1.9395,9669,6809
3.7013,2.1303,2.1847,2969,10715
2.5478,1.3617,1.5051,5007,10555
1.7708,0.9031,1.0792,12006,5806
1.8692,1.1139,1.0792,15201,228
1.7404,1.0792,0.8451,7454,1955
2.5988,1.1761,1.7243,4005,9809
2.0899,1.2787,1.0414,2312,2060
1.8921,1.0414,1.0414,8609,243
1.7993,0.7782,1.2305,6528,8163
2.2304,1.1139,1.3802,15228,1283
2.0934,1.0792,1.301,6250,5498
2.9464,1.3424,1.8389,3076,2802
2.1430000000000002,1.0,1.4314,9318,5574
2.6474,1.2553,1.699,14500,1113
2.0492,1.1761,1.2041,854,5571
1.8513,1.0414,0.9542,5921,9337
1.8865,0.8451,1.301,1918,6616
2.9096,1.1461,2.0792,12092,7587
3.463,1.5051,2.3096,10064,3794
2.9841,1.3424,1.9823,14099,5784
2.7168,1.3617,1.8062,11801,9239
2.9722,1.5315,1.8751,5401,6705
3.635,2.0212,2.4829,3920,2172
2.9978,1.3617,1.9445,4686,1991
2.7672,1.301,1.7076,5004,10572
3.8628,1.5682,2.5922,111,862
3.0060000000000002,1.3979,1.9445,1294,5416
3.2514,1.5051,1.9685,7746,2294
2.7582,1.301,1.7559,2860,2142
3.4586,1.5911,2.1239,178,10043
3.395,1.4624,2.0934,6012,9155
2.8507,1.4914,1.6128,7196,4004
3.0599,1.301,1.9294,8024,6000
3.5810000000000004,1.6628,2.2718,9510,7846
2.7875,1.415,1.6628,13723,5445
2.7324,1.1139,1.8389,10627,2846
2.8414,1.5185,1.7076,12665,7060
1.8261,1.0,1.0792,11857,6914
3.1297,1.3979,1.9868,4401,2741
2.4232,1.2305,1.5441,8483,9787
2.1399,1.2305,1.1461,8265,10850
2.0374,1.1139,1.3424,8648,9572
1.8692,0.8451,1.301,15733,7586
3.8796,1.8692,2.3463,13098,2035
2.2648,1.2787,1.1761,13176,3294
2.4014,1.2553,1.4472,5691,7100
1.7924,1.0,1.1461,7682,3793
1.7781,1.1139,0.8451,7904,6009
1.7404,1.0,1.0,3892,4096
2.3819999999999997,1.3979,1.2787,2156,6150
1.7324,1.1139,0.8451,11580,5168
2.1072,0.9031,1.4624,5963,361
1.7076,0.7782,1.1461,10020,2530
1.7853,0.8451,1.1461,12164,4951
2.8921,1.3617,1.8261,15370,5189
2.6929,1.3802,1.5315,11722,10842
1.8129,0.9542,1.0414,6433,4938
2.1399,1.1461,1.2787,6800,10269
1.9294,1.2041,1.1139,10345,7101
1.7708,0.7782,1.2041,13879,2825
2.3463,1.1461,1.4472,1762,735
1.8633,1.2041,0.9031,13150,1431
2.4564,1.5315,1.3979,14837,7637
2.5911,1.1761,1.5563,4768,4685
1.716,1.0414,1.0414,13626,1895
1.9912,1.0414,1.1461,3250,2443
1.7853,1.0414,1.0,769,4623
1.8751,1.0414,1.1461,9131,3007
2.8482,1.3424,1.8692,7740,3829
2.2923,1.4624,1.2553,5227,2267
1.8062,1.0792,1.0414,123,1416
2.1139,1.1139,1.3424,13399,5564
2.3324,1.2305,1.3222,817,5301
2.2504,1.0414,1.4472,11963,8665
2.1903,1.0,1.4314,15120,10899
3.0128,1.2305,1.959,2777,9636
2.1461,1.301,1.3222,3501,7592
3.1673,1.5798,1.8692,3474,7643
1.8389,1.1461,1.0792,8931,3807
2.3636,1.301,1.2787,7758,8324
2.2279,1.3222,1.3222,12642,3336
2.6484,1.2787,1.7076,5259,3827
2.3892,1.1761,1.4314,9815,9128
1.9956,1.1461,1.0792,11211,2934
1.7404,0.9542,1.2041,10216,7755
2.9410000000000003,1.8573,1.6532,9686,7064
1.8062,1.0,1.0792,8584,4169
1.7781,1.1139,1.0,11912,4780
2.0792,1.415,1.0414,2561,1836
2.4969,1.5441,1.5441,7787,4594
1.7853,1.1461,1.0414,1479,3859
2.4031,1.4472,1.1461,1164,753
2.7067,1.5051,1.4624,8683,6578
2.2304,1.1139,1.301,13328,2316
1.8921,1.3424,0.7782,12514,6160
1.8865,1.0,1.1139,1667,2936
1.9191,1.1761,1.0414,938,9912
1.7853,1.0,0.9542,15074,1921
1.9031,1.0,1.2305,11445,2845
1.7076,1.0,1.0,15095,2915
1.7634,1.3222,0.6990000000000001,4292,2616
1.7634,1.0,1.0414,3459,8330
2.1139,1.2787,1.1139,9538,8472
2.0682,1.1761,1.0792,4854,8399
2.6902,1.2041,1.6335,5871,1976
2.5024,1.2787,1.4771,9947,8118
2.2672,1.2305,1.3222,11426,2028
1.7708,1.0414,1.0,7199,927
2.0756,1.0792,1.2553,13939,10038
1.8195,0.9542,1.0414,15135,7183
2.4281,1.2041,1.3617,499,6325
1.9956,1.2305,1.0,13225,862
2.2945,1.1461,1.4314,11875,2584
1.959,0.9031,1.1461,10853,1030
2.1523,1.0792,1.4314,6944,947
1.7781,0.9542,1.0414,12102,9618
1.7781,0.9542,1.1139,3612,2309
2.1732,1.3979,1.0,15740,8096
2.0128,1.1139,1.1139,13983,3739
1.9685,1.0792,1.2041,2391,22
2.0607,1.2305,1.0792,13301,8464
3.0803,1.3222,1.9494,14762,57
2.0374,1.0,1.301,4176,5540
3.137,1.2787,2.1553,4527,4333
1.9445,0.9031,1.1761,14044,3059
2.7528,1.3222,1.7853,4478,8066
1.9868,1.1139,1.2305,4866,9738
2.1614,0.9542,1.3802,7096,7517
2.3117,1.1461,1.301,13801,8969
1.7781,0.9542,1.0,809,10040
2.238,1.1461,1.3424,7944,8694
1.8513,1.2041,0.9542,7293,9915
2.7619,1.4472,1.6812,11698,1026
1.7243,1.0,0.9542,1397,9331
2.1847,1.1139,1.3222,15540,2843
1.8921,1.2041,1.0,2550,6948
1.9731,1.2305,1.0792,14445,783
2.5752,1.1761,1.6128,1201,10202
2.0453,1.2041,1.0792,7090,1668
3.1884,1.4472,2.1072,14662,3359
2.2833,0.9542,1.5563,15042,7030
1.8808,1.0,1.0792,6610,5777
2.2989,1.1461,1.3617,1075,8225
1.8513,0.8451,1.1139,15657,10396
1.8389,0.7782,1.2305,4396,6536
1.716,0.8451,1.0792,12110,1334
2.5302,1.3979,1.3222,3775,7068
2.1903,1.301,1.1761,1133,3040
2.7910000000000004,1.7243,1.3222,12463,5475
2.1523,1.2787,1.0792,7827,503
2.7059,1.716,1.4914,5958,8796
2.1987,1.3222,1.2041,5868,5476
2.1931,1.4771,1.0792,9461,6059
2.4941,1.6902,1.415,2664,1708
2.2553,1.0414,1.415,6492,6894
2.1673,0.9031,1.4771,15381,1131
3.2388,1.2553,2.4683,4364,5947
2.0792,0.8451,1.5798,12896,9901
3.2562,1.301,2.3181,13825,750
2.0934,1.0,1.301,4447,7497
2.0756,1.1139,1.2787,13073,163
2.1139,0.9542,1.3979,5541,4534
3.5892,1.4624,2.4487,13257,2210
2.4698,1.0414,1.7482,3770,991
1.8573,1.0,1.0414,2544,948
1.8195,0.9031,1.0414,9204,729
1.7853,0.9542,1.0792,4209,7853
1.8751,0.9031,1.0414,3557,7694
2.6464,1.2041,1.7708,2720,4822
1.8808,1.0,0.9542,6713,6823
2.1761,1.1139,1.1761,9805,455
2.9504,1.2787,2.0086,6310,4119
1.8692,1.1761,0.9542,14890,10889
2.1335,1.2553,1.0414,4476,1900
2.0334,1.1139,1.1139,12232,3195
1.8692,0.9031,1.0792,3683,7021
1.716,0.9031,1.0,4762,7724
1.8389,0.9031,1.0414,249,10636
1.7781,0.8451,1.1461,9486,10254
1.8325,0.8451,1.0414,688,5521
1.8451,0.9031,0.9542,8364,6246
2.7024,1.3802,1.4314,5892,2882
2.1461,1.0792,1.1761,2315,1387
2.0334,1.0414,1.1139,3843,7319
1.9823,0.9542,1.1139,11740,1660
1.9085,1.0,1.0,12130,5458
1.9294,1.0414,1.0,5356,1821
1.7559,0.9031,0.9542,13806,5033
1.8751,0.9542,1.0414,2844,2889
1.9445,1.0414,1.0,11179,10540
1.9445,0.9542,1.0792,6257,7742
1.716,0.8451,1.0,3545,3591
1.716,0.7782,1.0414,4490,6530
1.8129,0.9031,0.9542,635,5484
1.7993,0.9542,1.0414,10686,1159
2.0043,1.0,1.0414,9243,2141
1.9638,1.0414,1.0792,4409,9264
1.7243,0.9031,0.9031,2705,10060
3.3725,1.7853,1.8389,5730,9859
3.3239,1.8633,1.6128,1022,3217
2.356,1.1461,1.2553,3286,7426
2.3636,1.2305,1.2305,15639,5028
2.2878,1.1761,1.2305,11500,8364
2.3927,1.1761,1.3222,13812,5109
2.2430000000000003,1.1139,1.2787,2163,10211
2.7528,1.2787,1.6812,3779,6093
2.8162,1.3802,1.5315,9349,1999
5.1837,2.1761,4.2587,1817,9779
4.4035,2.3617,2.3201,9110,5929
4.3245,2.3424,2.3075,13138,8561
4.4061,2.3522,2.3201,12286,2162
4.3868,2.6395,2.3692,15535,9636
4.32,2.3503,2.2967,6139,10680
4.3165,2.918,2.3075,13951,384
4.3532,2.3444,2.3463,837,6287
4.3422,2.3483,2.3139,13202,8035
4.323,2.5843,2.3404,4822,4880
4.2242,2.248,2.2648,7383,5979
4.2547,2.2577,2.29,4836,4939
4.2929,2.8414,2.2553,9551,6846
4.2525,2.2577,2.3117,10853,3842
4.2676,2.3503,2.3541,11062,6819
4.251,2.2529,2.3304,12614,10627
4.2224,2.6181,2.2833,4426,1500
4.218,2.842,2.3032,2803,8668
4.2481,2.2672,2.3222,4404,7376
4.257,2.2718,2.2878,7395,893
4.2766,2.2430000000000003,2.3075,12972,2747
4.2764,2.2718,2.2553,1574,3474
4.3078,2.281,2.2765,11366,9600
4.2601,2.2624,2.301,9524,696
4.2395,2.238,2.3385,4784,8892
4.2777,2.2718,2.2967,11466,10187
4.1746,2.248,2.1553,9660,10764
4.2167,2.9385,2.2529,1252,7370
4.2507,2.2695,2.29,4847,7402
2.0,1.2787,1.0414,9242,8616
2.549,1.3979,1.4624,4209,2589
4.2259,2.2529,2.1703,9975,10488
4.2024,2.2529,2.1732,15327,10519
4.2013,2.2577,2.238,9602,6375
2.1072,1.2305,1.1461,6665,4602
4.2101,2.2577,2.233,10506,7938
4.175,2.2430000000000003,2.233,4172,1778
4.1775,2.2455,2.2529,1739,6056
4.115,2.2430000000000003,2.2041,12381,9180
4.2296,2.2406,2.2175,1197,10125
4.2197,2.2406,2.2765,11268,243
4.1752,2.233,2.238,3426,7520
4.1336,2.2430000000000003,2.2672,13215,6463
4.1267,2.238,2.1761,13401,960
4.2085,2.248,2.3054,5608,10584
2.9708,1.5441,1.7076,8114,9469
4.1932,2.2504,2.2304,10164,4625
4.0549,2.2553,2.1399,3469,7524
4.1879,2.2430000000000003,2.2718,10795,6301
4.1453,2.2355,2.233,15201,8575
4.0564,2.6031,2.2148,10807,10125
4.132,2.2430000000000003,2.2122,11874,4394
4.196000000000001,2.2577,2.2553,15237,8085
4.0796,2.2355,2.233,1986,9030
4.0746,2.238,2.2355,7552,9925
4.052,2.233,2.2148,9467,4224
4.0868,2.2695,2.2175,10898,309
2.7316,1.4624,1.5051,8703,2003
2.8306,1.5185,1.5441,12013,903
4.0118,2.2504,2.1461,14933,8796
4.062,2.2624,2.2148,11604,9214
2.8998,1.4314,1.7243,13890,5215
4.0604,2.2355,2.2041,11722,10067
4.0376,2.2279,2.1367,10306,7624
4.1483,2.2095,2.2253,4939,5057
4.093,2.1818,2.2227,4003,6098
4.0831,2.1790000000000003,2.2095,5671,1785
4.1445,2.1847,2.2355,14188,7914
4.1241,2.1703,2.1818,13566,3786
4.1048,2.1903,2.2601,6577,6621
4.1556,2.1931,2.2787,7915,8803
4.1567,2.1818,2.2672,3866,5807
4.0885,2.1761,2.2041,8104,4962
4.1201,2.1847,2.2068,7055,3334
4.1177,2.1818,2.1703,7763,10226
4.0333,2.2068,2.1430000000000002,11718,6667
4.0609,2.1847,2.1732,2983,541
4.1339,2.1732,2.2253,14789,7036
4.0961,2.1761,2.1703,15363,9202
4.1044,2.1761,2.1987,12022,2186
4.1158,2.1818,2.1987,13142,782
4.1367,2.1790000000000003,2.2227,7683,8091
4.0972,2.1818,2.2253,8221,621
4.0449,2.1790000000000003,2.1644,1137,847
4.0686,2.1790000000000003,2.2279,2953,8149
4.1153,2.1644,2.2014,13307,9922
4.0379,2.1847,2.1584,7636,1388
4.081,2.2175,2.2553,10308,8295
4.0552,2.1790000000000003,2.2553,2781,2392
4.0564,2.1732,2.2095,6830,9235
4.0724,2.1931,2.2253,7246,3500
4.1207,2.1903,2.2355,9568,4284
4.0722,2.1847,2.1959,1540,3835
4.0496,2.1847,2.2014,15420,8702
4.0366,2.1703,2.2304,7844,2750
4.1152,2.1931,2.2833,8208,3027
4.0965,2.1959,2.2553,10583,4325
4.0974,2.1732,2.2014,2905,5629
4.0611,2.1875,2.1703,14699,1484
4.1084,2.1987,2.1703,11664,5691
4.0182,2.5465,2.2878,1273,1568
3.9812,2.1584,2.1790000000000003,5746,6820
4.0311,2.1818,2.1553,8757,2179
4.0573,2.1931,2.2227,8896,4269
4.0391,2.1818,2.2355,6020,5781
4.0343,2.1987,2.2175,11827,4343
3.9708,2.1644,2.2175,12160,10897
4.0623,2.2148,2.2355,5627,6564
3.9968,2.1673,2.2175,3514,9793
3.7419,2.1903,1.8751,5999,9440
3.6885,2.1703,1.699,8539,8988
3.977,2.1673,2.1903,3442,9231
4.0408,2.1931,2.2201,11419,2517
3.6985,2.1732,1.7482,9868,9675
3.7560000000000002,2.1903,1.7482,7606,10314
3.9785,2.1903,2.2175,10973,7037
3.775,2.1818,1.8808,10527,7105
3.7495,2.1673,1.8513,6582,9661
3.9815,2.1703,2.1959,2304,7098
3.963,2.1847,2.2304,8244,1967
3.9408,2.1931,2.1732,13174,8404
3.9953,2.1761,2.233,3761,1352
3.9272,2.1818,2.1931,5933,1085
3.3068,1.8921,1.8451,10255,2395
3.7476,2.1987,1.7559,3784,8815
3.94,2.1931,2.2201,8732,2515
3.7463,2.1644,1.8633,2900,9938
3.7289,2.1584,1.7243,1181,6598
3.6660000000000004,2.1461,1.699,9132,4579
3.9522,2.1492,2.1523,12171,4303
3.7211,2.1523,1.7559,5019,2485
3.7582,2.1461,1.9085,5330,5121
3.2808,1.7924,1.8451,1200,5673
3.4458,1.8976,2.0043,8759,9727
3.8049,2.1335,1.9445,13096,5345
3.9214,2.1271,2.1703,13060,5679
3.903,2.1430000000000002,2.2095,12663,3733
3.7388,2.1399,1.8325,5288,2620
3.806,2.1703,1.9294,4766,1163
3.6915,2.1847,1.716,7040,5636
3.7602,2.1761,1.8865,10919,10695
3.6504,2.1553,1.7924,12819,3887
2.5843,1.5911,1.2787,9557,306
2.4409,1.4472,1.2787,11408,10224
3.6144,2.1206,1.6902,7376,6765
3.5931,2.1492,1.6721,15188,2596
3.6256,2.1523,1.6902,5664,205
3.6437,2.1553,1.716,5730,787
3.3915,1.7634,2.0414,7947,4101
3.5924,2.1173,1.7708,4042,5545
2.0043,1.3424,0.9031,9560,3554
3.616,2.1206,1.7324,9219,3594
3.6247,2.1523,1.699,12928,4005
3.6519999999999997,2.1584,1.6812,9397,10867
3.5217,2.0828,1.6721,10544,2311
3.56,2.0934,1.6902,9624,8200
3.5636,2.1004,1.6721,15654,6856
3.5782,2.1303,1.7076,389,9191
3.5686,2.0864,1.6721,636,2963
3.5951,2.1553,1.6721,4418,10280
3.5168,2.0682,1.6721,7322,9105
3.5648,2.0828,1.6721,9861,1076
3.5362,2.0756,1.6721,9538,5300
3.6152,2.1239,1.6721,748,7327
3.5642,2.1173,1.6628,6684,8637
3.6366,2.1553,1.6902,10622,5711
3.6072,2.1239,1.7076,5981,6462
3.6004,2.1106,1.6812,14949,277
3.6041,2.1399,1.6628,6868,5743
3.6443,2.1492,1.716,10743,2333
3.5933,2.1335,1.6812,5005,9371
3.6992,2.1644,1.7243,10669,5778
3.8045,2.1959,1.8129,6576,7015
3.7933,2.1959,1.8129,875,8767
3.7903,2.1847,1.8692,9079,3364
3.7946,2.1732,1.8865,14451,4234
2.3598,1.5798,1.2041,15034,2850
3.7692,2.1903,1.7924,11669,7284
3.7560000000000002,2.1732,1.7708,5409,576
3.7673,2.1875,1.7559,5481,1730
2.316,1.5911,1.1139,2739,1644
2.301,1.5682,1.1461,790,8303
3.7760000000000002,2.1931,1.7781,13203,10894
3.7823,2.1903,1.7924,6993,335
3.7884,2.1959,1.7993,3757,8327
3.7624,2.1931,1.7924,6071,5060
3.7739,2.1790000000000003,1.7781,12939,9990
3.7977,2.1959,1.8129,8004,7216
3.7787,2.1959,1.7708,15538,2018
3.7989,2.1903,1.8325,9413,541
3.7943,2.1903,1.7708,9366,3370
3.7824,2.1959,1.8062,14861,7449
3.7865,2.1875,1.8261,15311,8233
3.7911,2.2068,1.7993,3426,4729
3.3813,1.8808,1.9191,3832,7528
3.7555,2.1847,1.8195,9143,7724
3.332,1.8325,1.8865,3013,10066
3.7647,2.1790000000000003,1.7781,14827,2881
3.2925,1.8261,1.8808,12240,8345
3.284,1.8751,1.8865,10249,7461
3.7776,2.2068,1.7924,12008,1879
3.7698,2.1959,1.7853,3824,7326
3.3239,1.8976,1.9243,467,3601
3.8033,2.238,1.8195,773,8882
3.8064,2.238,1.8325,1962,898
3.8245,2.2304,1.8325,12536,4416
3.7989,2.2279,1.7993,9081,5401
3.8061,2.233,1.8389,4513,428
3.8461,2.248,1.8261,4230,4677
3.8019,2.2304,1.8062,5250,9218
3.8603,2.2529,1.8389,7443,5604
3.8125,2.233,1.8261,5584,7037
3.845,2.2553,1.8751,7674,3185
3.8235,2.2430000000000003,1.8195,2031,2574
3.2634,1.9031,1.8921,4255,8538
3.8169999999999997,2.2430000000000003,1.8261,633,3253
3.7931,2.2455,1.8195,4116,6075
3.803,2.238,1.8129,15179,7102
3.7794,2.233,1.8261,1578,10589
3.8082,2.2455,1.8325,3405,3646
3.7977,2.2430000000000003,1.8451,12799,9318
3.7563,2.2304,1.7853,7421,8691
3.7928,2.2355,1.8062,3676,1679
3.813,2.2430000000000003,1.7924,5865,10670
3.8343,2.2529,1.9191,7766,10593
3.8077,2.2430000000000003,1.8325,2878,3185
3.8142,2.2529,1.8513,9863,9573
3.8247,2.248,1.8261,9982,8224
3.8212,2.2504,1.8325,9893,10078
3.8193,2.238,1.8325,7515,7016
0.301,0.301,0.0,4850,4565
3.8360000000000003,2.238,1.8261,9608,10190
3.8158,2.2529,1.8261,15715,7749
3.8310000000000004,2.2430000000000003,1.8325,8768,5448
3.8252,2.238,1.8513,11662,439
3.8236,2.2253,1.8261,1047,7859
3.8335,2.2504,1.9395,7489,3348
3.8146,2.238,1.8195,11574,1503
3.8199,2.2553,1.8325,1886,923
3.8224,2.2577,1.8195,680,4302
3.8118,2.2253,1.8451,8683,1477
3.2655,1.8573,1.7324,4197,906
3.8084,2.233,1.8451,4178,9411
3.8122,2.2553,1.7993,14038,4277
3.8375,2.248,1.8325,2801,5135
3.8205,2.2430000000000003,1.8325,849,8353
3.8124,2.233,1.7993,5741,8545
3.8475,2.248,1.8195,2926,3207
3.8443,2.2455,1.8325,2663,5739
3.8197,2.233,1.8261,11428,4150
3.8649,2.2430000000000003,1.8751,2887,8400
3.845,2.2430000000000003,1.8751,5833,4065
3.8416,2.248,1.8062,5947,1008
3.4464,1.9731,1.9243,2422,9100
3.819,2.2430000000000003,1.8195,8356,7971
3.8128,2.2304,1.8261,15126,9132
3.8113,2.2304,1.8573,13217,8045
3.8061,2.238,1.8451,12635,4587
3.8139,2.2430000000000003,1.8129,6923,8784
3.8412,2.248,1.8451,2908,445
3.8301,2.2455,1.7993,1371,740
3.78,2.2355,1.7708,13890,9994
3.7977,2.248,1.8261,13751,240
0.301,0.301,0.0,7246,6720
3.7789,2.248,1.8325,3327,6544
3.7733,2.248,1.7708,930,2998
3.7958,2.2355,1.8325,9746,9717
3.798,2.2430000000000003,1.8195,7016,4785
3.8,2.238,1.8325,11104,7235
3.8342,2.238,1.8633,14132,7274
3.7907,2.238,1.8129,12545,6111
3.7913,2.2504,1.8129,12810,1600
3.8098,2.2504,1.8513,11058,2495
3.7599,2.2355,1.8195,10128,1818
3.7979,2.2253,1.8261,12522,8620
3.3345,1.7853,1.9345,2046,9572
3.7577,2.2201,1.8389,4406,6539
3.8110000000000004,2.2430000000000003,1.8389,2644,4858
