TicketId,Ticket,Fare,Pclass,Embarked
9774,315089,8.6625,3,S
64,C.A. 34651,27.75,2,S
6082,SC/AH Basle 541,13.7917,2,C
5001,7553,9.8375,3,S
4787,110465,52.0,1,S
3665,31027,21.0,2,S
7798,3460,7.0458,3,S
3164,350060,7.5208,3,S
7363,3101298,12.2875,3,S
5074,CA 2144,46.9,3,S
4157,239854,0.0,2,S
3052,A/5 3594,8.05,3,S
6680,4134,9.5875,3,S
7057,11967,91.0792,1,C
4022,4133,25.4667,3,S
4454,19943,90.0,1,S
1425,11771,29.7,1,C
3786,A.5. 18509,8.05,3,S
6467,C.A. 37671,15.9,3,S
3365,65304,19.9667,3,S
6012,SOTON/OQ 3101317,7.25,3,S
5818,113787,30.5,1,S
829,PC 17609,49.5042,1,C
5589,A/4 45380,8.05,3,S
838,2627,14.4583,3,C
2569,36947,78.2667,1,C
1388,C.A. 6212,15.1,3,S
4062,113781,151.55,1,S
3477,350035,7.7958,3,S
9712,315086,8.6625,3,S
8455,364846,7.75,3,Q
3185,330909,7.6292,3,Q
6063,4135,9.5875,3,S
2071,110152,86.5,1,S
5197,PC 17758,108.9,1,C
2347,26360,26.0,2,S
931,111427,26.55,1,S
409,C 4001,22.525,3,S
2580,1601,56.4958,3,S
102,382651,7.75,3,Q
677,SOTON/OQ 3101316,8.05,3,S
2028,PC 17473,26.2875,1,S
5184,PC 17603,59.4,1,C
3737,349209,7.4958,3,S
521,36967,34.0208,1,S
5244,C.A. 34260,10.5,2,S
6950,371110,24.15,3,Q
1885,226875,26.0,2,S
4695,349242,7.8958,3,S
9450,12749,93.5,1,S
4562,349252,7.8958,3,S
7331,2624,7.225,3,C
354,111361,57.9792,1,C
7160,2700,7.2292,3,C
4155,367232,7.75,3,Q
7360,W./C. 14258,10.5,2,S
6553,PC 17483,221.7792,1,S
9258,3101296,7.925,3,S
5595,29104,11.5,2,S
9134,26360,26.0,2,S
4158,2641,7.2292,3,C
1985,2690,7.2292,3,C
1554,2668,22.3583,3,C
5600,315084,8.6625,3,S
9690,F.C.C. 13529,26.25,2,S
5292,113050,26.55,1,S
6286,PC 17761,106.425,1,C
4169,364498,14.5,3,S
3690,13568,49.5,1,C
5299,WE/P 5735,71.0,1,S
1474,347082,31.275,3,S
9544,347082,31.275,3,S
4976,2908,26.0,2,S
6331,PC 17761,106.425,1,C
7203,693,26.0,1,S
2898,2908,26.0,2,S
9145,SC/PARIS 2146,13.8625,2,C
3893,363291,20.525,3,S
3682,C.A. 33112,36.75,2,S
6502,17421,110.8833,1,C
7106,244358,26.0,2,S
1991,330979,7.8292,3,Q
7118,2620,7.225,3,C
8739,347085,7.775,3,S
5637,113807,26.55,1,S
9157,11755,39.6,1,C
1183,PC 17757,227.525,1,C
8652,110413,79.65,1,S
466,345572,17.4,3,S
1808,372622,7.75,3,Q
2677,349251,7.8958,3,S
3056,218629,13.5,2,S
2731,SOTON/OQ 392082,8.05,3,S
1848,SOTON/O.Q. 392087,8.05,3,S
7619,A/4 48871,24.15,3,S
1257,349205,7.8958,3,S
2273,349909,21.075,3,S
3619,2686,7.2292,3,C
3053,350417,7.8542,3,S
9881,S.W./PP 752,10.5,2,S
5098,11769,51.4792,1,S
2647,PC 17474,26.3875,1,S
5582,14312,7.75,3,Q
5453,A/4. 20589,8.05,3,S
5015,358585,14.5,3,S
6461,243880,13.0,2,S
8042,13507,55.9,1,S
5930,2689,14.4583,3,C
2711,STON/O 2. 3101286,7.925,3,S
683,237789,30.0,2,S
8038,17421,110.8833,1,C
6154,28403,26.0,2,S
1462,13049,40.125,1,C
6646,3411,8.7125,3,C
7993,110413,79.65,1,S
6379,237565,15.0,2,S
8648,13567,79.2,1,C
8562,14973,8.05,3,S
5742,A./5. 3235,8.05,3,S
9743,STON/O 2. 3101273,7.125,3,S
2127,36947,78.2667,1,C
5148,A/5 3902,7.25,3,S
8718,364848,7.75,3,Q
2816,SC/AH 29037,26.0,2,S
4121,345773,24.15,3,S
5742,248727,33.0,2,S
7273,LINE,0.0,3,S
8826,2664,7.225,3,C
1034,PC 17485,56.9292,1,C
5807,243847,27.0,2,S
2642,349214,7.8958,3,S
4949,113796,42.4,1,S
9237,364511,8.05,3,S
8981,111426,26.55,1,C
6288,349910,15.55,3,S
6251,349246,7.8958,3,S
8500,113804,30.5,1,S
1022,SC/Paris 2123,41.5792,2,C
5466,PC 17582,153.4625,1,S
4010,347082,31.275,3,S
1287,SOTON/O.Q. 3101305,7.05,3,S
3293,367230,15.5,3,Q
5759,370377,7.75,3,Q
7126,364512,8.05,3,S
57,220845,65.0,2,S
3027,347080,14.4,3,S
1947,A/5. 3336,16.1,3,S
1582,230136,39.0,2,S
6386,31028,10.5,2,S
8906,2659,14.4542,3,C
6504,11753,52.5542,1,S
3897,2653,15.7417,3,C
2591,350029,7.8542,3,S
4554,54636,16.1,3,S
2794,36963,32.3208,1,S
6764,219533,12.35,2,Q
272,13502,77.9583,1,S
749,349224,7.8958,3,S
4452,334912,7.7333,3,Q
7379,27042,30.0,1,S
337,347743,7.0542,3,S
2717,13214,30.5,1,C
2787,112052,0.0,1,S
5620,347088,27.9,3,S
9780,237668,13.0,2,S
828,STON/O 2. 3101292,7.925,3,S
7050,C.A. 31921,26.25,2,S
6015,3101295,39.6875,3,S
4404,376564,16.1,3,S
6928,350050,7.8542,3,S
1496,PC 17477,69.3,1,C
4027,347088,27.9,3,S
3984,1601,56.4958,3,S
9932,2666,19.2583,3,C
3392,PC 17572,76.7292,1,C
9466,349231,7.8958,3,S
5840,13213,35.5,1,C
2948,S.O./P.P. 751,7.55,3,S
1307,CA. 2314,7.55,3,S
6319,349221,7.8958,3,S
5295,231919,23.0,2,S
7996,8475,8.4333,3,S
2993,330919,7.8292,3,Q
4735,365226,6.75,3,Q
4260,S.O.C. 14879,73.5,2,S
4761,349223,7.8958,3,S
1019,364849,15.5,3,Q
8967,29751,13.0,2,S
5745,35273,113.275,1,C
4080,PC 17611,133.65,1,S
8036,2623,7.225,3,C
4940,5727,25.5875,1,S
8736,349210,7.4958,3,S
4144,STON/O 2. 3101285,7.925,3,S
5344,S.O.C. 14879,73.5,2,S
4490,234686,13.0,2,S
3420,312993,7.775,3,S
850,A/5 3536,8.05,3,S
7563,19996,52.0,1,S
8226,29750,39.0,2,S
1494,F.C. 12750,52.0,1,S
668,C.A. 24580,10.5,2,S
3674,244270,13.0,2,S
2944,239856,0.0,2,S
6743,349912,7.775,3,S
8967,342826,8.05,3,S
3523,4138,9.8417,3,S
9811,CA 2144,46.9,3,S
3782,PC 17755,512.3292,1,C
8245,330935,8.1375,3,Q
4186,PC 17572,76.7292,1,C
82,6563,9.225,3,S
3329,CA 2144,46.9,3,S
5581,29750,39.0,2,S
9454,SC/Paris 2123,41.5792,2,C
7539,3101295,39.6875,3,S
6982,349228,10.1708,3,S
897,350036,7.7958,3,S
7167,24160,211.3375,1,S
9691,17474,57.0,1,S
6842,349256,13.4167,3,C
2349,1601,56.4958,3,S
2004,2672,7.225,3,C
8351,113800,26.55,1,S
2018,248731,13.5,2,S
2006,363592,8.05,3,S
7483,35852,7.7333,3,Q
8809,17421,110.8833,1,C
2561,348121,7.65,3,S
5895,PC 17757,227.525,1,C
2442,PC 17475,26.2875,1,S
3380,2691,14.4542,3,C
7539,36864,7.7417,3,Q
9084,350025,7.8542,3,S
9134,250655,26.0,2,S
5633,223596,13.5,2,S
8368,PC 17476,26.2875,1,S
6067,113781,151.55,1,S
1824,2661,15.2458,3,C
9177,PC 17482,49.5042,1,C
2310,113028,26.55,1,S
9127,19996,52.0,1,S
7624,7545,9.4833,3,S
961,250647,13.0,2,S
1217,348124,7.65,3,S
45,PC 17757,227.525,1,C
1225,34218,10.5,2,S
8467,36568,15.5,3,Q
3026,347062,7.775,3,S
2967,248727,33.0,2,S
7249,350048,7.0542,3,S
9566,12233,13.0,2,S
9154,250643,13.0,2,S
7750,113806,53.1,1,S
8368,315094,8.6625,3,S
1482,31027,21.0,2,S
115,36866,7.7375,3,Q
1403,236853,26.0,2,S
8971,STON/O2. 3101271,7.925,3,S
9563,24160,211.3375,1,S
8284,2699,18.7875,3,C
2269,239855,0.0,2,S
3814,28425,13.0,2,S
6580,233639,13.0,2,S
813,54636,16.1,3,S
1321,W./C. 6608,34.375,3,S
9978,PC 17755,512.3292,1,C
3496,349201,7.8958,3,S
2667,349218,7.8958,3,S
1886,16988,30.0,1,S
3330,19877,78.85,1,S
9818,PC 17608,262.375,1,C
9697,376566,16.1,3,S
150,STON/O 2. 3101288,7.925,3,S
2604,WE/P 5735,71.0,1,S
5440,C.A. 2673,20.25,3,S
5897,250648,13.0,2,S
7639,113773,53.1,1,S
7013,335097,7.75,3,Q
7359,29103,23.0,2,S
7189,392096,12.475,3,S
833,345780,9.5,3,S
1538,349204,7.8958,3,S
8839,220845,65.0,2,S
3142,250649,14.5,2,S
5240,350042,7.7958,3,S
1033,29108,11.5,2,S
5100,363294,8.05,3,S
3460,110152,86.5,1,S
5053,358585,14.5,3,S
6733,SOTON/O2 3101272,7.125,3,S
3867,2663,7.2292,3,C
9896,113760,120.0,1,S
6852,347074,7.775,3,S
7569,13502,77.9583,1,S
8374,112379,39.6,1,C
6792,364850,7.75,3,Q
3348,371110,24.15,3,Q
5144,8471,8.3625,3,S
988,345781,9.5,3,S
2383,350047,7.8542,3,S
660,S.O./P.P. 3,10.5,2,S
7027,2674,7.225,3,C
9229,29105,23.0,2,S
1366,347078,7.75,3,S
8800,383121,7.75,3,Q
8928,364516,12.475,3,S
7602,36865,7.7375,3,Q
2794,24160,211.3375,1,S
4277,2687,7.2292,3,C
4841,17474,57.0,1,S
6197,113501,30.0,1,S
3112,W./C. 6607,23.45,3,S
7224,SOTON/O.Q. 3101312,7.05,3,S
5961,374887,7.25,3,S
7110,3101265,7.4958,3,S
7912,382652,29.125,3,Q
8332,C.A. 2315,20.575,3,S
8711,PC 17593,79.2,1,C
3540,12460,7.75,3,Q
9342,239865,26.0,2,S
9735,CA. 2343,69.55,3,S
5685,PC 17600,30.6958,1,C
7042,349203,7.8958,3,S
3239,28213,13.0,2,S
3470,17465,25.9292,1,S
3869,349244,8.6833,3,S
2329,2685,7.2292,3,C
2582,345773,24.15,3,S
8336,250647,13.0,2,S
8441,C.A. 31921,26.25,2,S
5861,113760,120.0,1,S
8152,2625,8.5167,3,C
2376,347089,6.975,3,S
9144,347063,7.775,3,S
5167,112050,0.0,1,S
4626,347087,7.775,3,S
1586,248723,13.0,2,S
1524,113806,53.1,1,S
5483,3474,7.8875,3,S
2423,A/4 48871,24.15,3,S
9599,28206,10.5,2,S
3393,347082,31.275,3,S
4821,364499,8.05,3,S
4430,112058,0.0,1,S
4391,STON/O2. 3101290,7.925,3,S
2549,S.C./PARIS 2079,37.0042,2,C
9812,C 7075,6.45,3,S
8176,347088,27.9,3,S
4970,12749,93.5,1,S
7629,315098,8.6625,3,S
9579,19972,0.0,1,S
1005,392096,12.475,3,S
3475,3101295,39.6875,3,S
4823,368323,6.95,3,Q
9075,1601,56.4958,3,S
5255,S.C./PARIS 2079,37.0042,2,C
2235,367228,7.75,3,Q
7387,113572,80.0,1,
7596,2659,14.4542,3,C
7808,29106,18.75,2,S
6355,2671,7.2292,3,C
9848,347468,7.8542,3,S
9828,2223,8.3,3,S
5451,PC 17756,83.1583,1,C
3949,315097,8.6625,3,S
3930,392092,8.05,3,S
4947,1601,56.4958,3,S
7549,11774,29.7,1,C
8234,SOTON/O2 3101287,7.925,3,S
6529,S.O./P.P. 3,10.5,2,S
1209,113798,31.0,1,C
1442,2683,6.4375,3,C
8207,315090,8.6625,3,S
732,C.A. 5547,7.55,3,S
4180,CA. 2343,69.55,3,S
7357,349213,7.8958,3,C
7973,248727,33.0,2,S
4949,17453,89.1042,1,C
1307,347082,31.275,3,S
7599,347060,7.775,3,S
2158,2678,15.2458,3,C
4914,PC 17592,39.4,1,S
6307,244252,26.0,2,S
7862,392091,9.35,3,S
8014,36928,164.8667,1,S
6876,113055,26.55,1,S
7785,2666,19.2583,3,C
7897,2629,7.2292,3,C
9564,350026,14.1083,3,S
9970,28134,11.5,2,S
6623,17466,25.9292,1,S
3404,CA. 2343,69.55,3,S
2885,233866,13.0,2,S
8660,236852,13.0,2,S
1245,SC/PARIS 2149,13.8583,2,C
1212,PC 17590,50.4958,1,S
6083,345777,9.5,3,S
4972,347742,11.1333,3,S
2750,349248,7.8958,3,S
3444,11751,52.5542,1,S
9770,695,5.0,1,S
5307,345765,9.0,3,S
2382,P/PP 3381,24.0,2,C
948,2667,7.225,3,C
5298,7534,9.8458,3,S
3997,349212,7.8958,3,S
4731,349217,7.8958,3,S
7931,11767,83.1583,1,C
844,230433,26.0,2,S
460,349257,7.8958,3,S
2007,7552,10.5167,3,S
620,C.A./SOTON 34068,10.5,2,S
5463,SOTON/OQ 392076,7.05,3,S
6648,382652,29.125,3,Q
4782,211536,13.0,2,S
5248,112053,30.0,1,S
6171,W./C. 6607,23.45,3,S
9064,111369,30.0,1,C
