id,strong_team,strong_score,strong_overall,strong_avg_age,ft_id
7651,Switzerland,0,76,25.03,152
2133,Norway,1,75,26.87,153
6659,Argentina,1,83,25.57,154
1107,Brazil,2,83,24.73,155
77,France,0,82,25.47,156
5380,Germany,1,82,24.27,157
5703,Greece,0,75,26.2,158
1548,Uruguay,3,78,26.03,159
3929,Netherlands,5,81,26.13,160
6761,Northern Ireland,0,71,24.73,161
1419,Portugal,2,81,26.23,162
2630,Turkey,2,78,26.0,163
2311,Argentina,2,83,25.57,164
4206,Ireland,5,76,25.87,165
2100,Mexico,1,77,25.2,166
148,Germany,2,82,24.27,167
1097,Ireland,1,76,25.87,168
6837,Mexico,3,77,25.2,169
5679,Germany,2,82,24.27,170
961,Turkey,1,78,26.0,171
1319,Brazil,0,83,24.73,172
1974,England,2,83,26.37,173
106,Portugal,1,81,26.23,174
429,Spain,4,85,25.8,175
4421,Australia,3,73,26.87,176
5367,Argentina,1,83,25.57,177
1787,Brazil,1,83,24.73,178
1292,Greece,1,75,26.2,179
4164,Italy,0,82,25.57,180
1298,Russia,0,79,26.63,181
594,Sweden,5,76,26.27,182
7005,Netherlands,1,81,26.13,183
4910,France,1,82,25.47,184
1280,Mexico,1,77,25.2,185
6094,Mexico,4,77,25.2,186
761,Uruguay,1,78,26.03,187
4957,Brazil,4,83,24.73,188
7173,Argentina,1,83,25.57,189
6422,Brazil,2,83,24.73,190
2100,Croatia,0,78,25.4,191
2627,Spain,1,85,25.8,192
1802,Czech Republic,0,77,26.6,193
4907,Scotland,2,75,27.13,194
6409,Belgium,0,77,23.23,195
7800,Mexico,1,77,25.2,196
2694,England,3,83,26.37,197
3164,Germany,6,82,24.27,198
1383,Sweden,1,76,26.27,199
7550,Mexico,1,77,25.2,200
5788,Czech Republic,2,77,26.6,201
7295,Turkey,0,78,26.0,202
3543,Belgium,1,77,23.23,203
5921,Denmark,2,75,26.07,204
4540,Netherlands,2,81,26.13,205
1141,Italy,1,82,25.57,206
6810,Germany,2,82,24.27,207
7060,France,0,82,25.47,208
1921,Russia,0,79,26.63,209
3079,Switzerland,3,76,25.03,210
3144,Argentina,0,83,25.57,211
7700,Brazil,2,83,24.73,212
7724,Spain,2,85,25.8,213
5521,Sweden,2,76,26.27,214
900,Croatia,0,78,25.4,215
5245,Poland,2,74,25.07,216
2200,Germany,3,82,24.27,217
3552,Portugal,1,81,26.23,218
55,Germany,3,82,24.27,219
6259,Hungary,0,72,25.7,220
1927,Italy,3,82,25.57,221
3042,Brazil,2,83,24.73,222
4505,Spain,3,85,25.8,223
4366,Netherlands,2,81,26.13,224
3491,USA,0,75,24.93,225
246,Belgium,2,77,23.23,226
5492,Sweden,0,76,26.27,227
3686,France,1,82,25.47,228
7090,Russia,1,79,26.63,229
2812,Netherlands,0,81,26.13,230
1363,Italy,2,82,25.57,231
4477,Turkey,0,78,26.0,232
4604,Spain,0,85,25.8,233
5729,Croatia,0,78,25.4,234
1020,Denmark,2,75,26.07,235
4766,England,1,83,26.37,236
4071,France,0,82,25.47,237
713,Germany,3,82,24.27,238
4657,Greece,1,75,26.2,239
1722,Italy,0,82,25.57,240
3316,Poland,2,74,25.07,241
252,USA,3,75,24.93,242
3993,Austria,3,74,24.88,243
1471,Croatia,1,78,26.64,244
3313,Russia,2,79,27.2,245
924,England,2,83,26.04,246
5444,Germany,1,84,23.92,247
915,Belgium,1,79,23.88,248
2724,Hungary,1,72,26.52,249
7304,Italy,0,83,26.88,250
5262,Colombia,2,77,26.08,251
1453,Norway,3,74,26.52,252
5515,Portugal,0,82,26.76,253
5970,Uruguay,1,79,26.76,254
2395,Slovenia,1,74,26.44,255
6784,Argentina,3,82,25.8,256
4721,Chile,3,76,25.8,257
1532,Chile,3,76,25.8,258
5198,Cameroon,1,76,24.52,259
5471,Russia,1,79,27.2,260
7676,Brazil,3,83,25.6,261
4842,Turkey,2,77,25.16,262
815,Greece,1,75,26.16,263
692,Netherlands,1,82,25.84,264
2482,England,1,83,26.04,265
1489,Germany,3,84,23.92,266
3020,USA,5,75,25.44,267
4779,Turkey,2,77,25.16,268
7274,Spain,4,87,26.04,269
49,Switzerland,0,76,24.04,270
4643,Brazil,4,83,25.6,271
5892,Italy,0,83,26.88,272
4567,Argentina,4,82,25.8,273
7216,Denmark,2,76,26.48,274
753,England,1,83,26.04,275
2604,Netherlands,6,82,25.84,276
4096,Croatia,1,78,26.64,277
7112,Portugal,1,82,26.76,278
7502,Brazil,0,83,25.6,279
2754,Colombia,1,77,26.08,280
5173,Ireland,0,77,26.72,281
7188,Austria,0,74,24.88,282
7411,Poland,1,76,25.48,283
5548,Brazil,3,83,25.6,284
2238,Germany,1,84,23.92,285
5848,Netherlands,0,82,25.84,286
2875,Colombia,0,77,26.08,287
2970,Croatia,3,78,26.64,288
1732,Spain,1,87,26.04,289
6607,Uruguay,4,79,26.76,290
4438,France,1,83,26.16,291
6949,Russia,1,79,27.2,292
1963,Portugal,3,82,26.76,293
860,Germany,2,84,23.92,294
5988,Italy,1,83,26.88,295
1944,Spain,4,87,26.04,296
5442,England,3,83,26.04,297
7355,Russia,0,79,27.2,298
1014,Germany,2,84,23.92,299
6617,Portugal,2,82,26.76,300
6153,Spain,1,87,26.04,301
7663,Italy,2,83,26.88,302
1751,France,0,83,26.16,303
5360,Germany,4,84,23.92,304
612,Spain,2,87,26.04,305
3679,England,0,83,26.04,306
5385,Spain,0,87,26.04,307
1486,Germany,1,84,23.92,308
2457,Spain,4,87,26.04,309
3428,Turkey,0,77,25.16,310
4888,Netherlands,2,82,25.84,311
4862,Croatia,2,78,26.64,312
7499,Chile,0,76,25.8,313
3963,England,2,83,26.04,314
2545,France,0,83,26.16,315
2617,Germany,1,84,23.92,316
1693,Mexico,0,76,26.08,317
6511,Northern Ireland,3,71,25.32,318
1803,Greece,3,75,26.16,319
387,Russia,1,79,27.2,320
7243,Scotland,3,74,26.48,321
633,Slovenia,4,74,26.44,322
2344,Brazil,3,83,25.6,323
1318,Brazil,1,83,25.6,324
1958,Italy,2,83,26.88,325
152,Uruguay,0,79,26.76,326
2672,France,1,83,26.16,327
5911,Netherlands,2,82,25.84,328
930,Russia,2,79,27.2,329
3885,Switzerland,2,76,24.04,330
6395,Germany,2,84,23.92,331
6831,Belgium,1,79,23.88,332
690,Colombia,3,77,26.08,333
3847,Netherlands,4,82,25.84,334
4820,Norway,2,74,26.52,335
4286,Argentina,1,82,25.8,336
5693,Uruguay,1,79,26.76,337
525,Brazil,2,83,25.6,338
4924,Argentina,3,82,25.8,339
7222,Denmark,1,76,26.48,340
4559,Chile,1,76,25.8,341
6230,Germany,6,84,23.92,342
136,Poland,1,76,25.48,343
7154,Portugal,0,82,26.76,344
201,Switzerland,1,76,24.04,345
6191,Turkey,0,77,25.16,346
2620,Belgium,2,79,23.88,347
7022,Argentina,2,82,25.8,348
2402,Colombia,3,77,26.08,349
6467,Germany,4,84,23.92,350
2180,Turkey,1,77,25.16,351
1679,Italy,3,83,26.88,352
5224,Portugal,1,82,26.76,353
2282,Netherlands,4,82,25.84,354
3420,Spain,1,87,26.04,355
1773,England,1,83,26.04,356
750,Ivory Coast,3,78,26.96,357
2389,Brazil,1,83,25.6,358
1009,Norway,2,74,26.52,359
4999,Ireland,0,77,26.72,360
2616,Italy,1,83,26.88,361
1356,Australia,2,72,27.16,362
6507,Germany,0,84,23.92,363
1695,Uruguay,3,79,26.76,364
1977,Belgium,1,79,23.88,365
237,Russia,2,79,27.2,366
4248,England,2,83,26.04,367
3187,Turkey,1,77,25.16,368
3351,Brazil,1,83,25.6,369
3960,Norway,1,74,26.52,370
445,Ivory Coast,4,78,26.96,371
4159,Sweden,3,77,27.32,372
1222,Poland,4,76,25.48,373
3386,Chile,2,76,25.8,374
2276,Croatia,4,78,26.64,375
3726,England,2,83,26.04,376
76,Germany,2,84,23.92,377
4126,Switzerland,0,76,24.04,378
4016,Ireland,2,77,26.72,379
6901,Italy,1,83,26.88,380
2662,Portugal,2,82,26.76,381
2362,Romania,3,73,26.08,382
2987,Spain,3,87,26.04,383
4272,Argentina,3,82,25.8,384
7542,Italy,2,83,26.78,385
6237,Argentina,3,82,25.91,386
5458,Colombia,5,78,27.3,387
6237,Czech Republic,0,75,26.61,388
7410,Romania,2,71,25.13,389
6640,Chile,0,76,26.04,390
3252,Spain,1,86,27.0,391
5128,Sweden,0,76,27.39,392
3180,Uruguay,1,79,27.22,393
7143,Brazil,1,82,25.7,394
3195,Argentina,1,82,25.91,395
154,Uruguay,0,79,27.22,396
2282,Denmark,1,74,24.52,397
2257,Paraguay,1,74,28.7,398
189,Spain,1,86,27.0,399
891,Ireland,2,74,26.83,400
3407,Mexico,0,75,25.52,401
2074,Netherlands,4,81,25.61,402
2996,Turkey,1,77,24.83,403
2678,Colombia,0,78,27.3,404
7575,Brazil,4,82,25.7,405
7663,Mexico,0,75,26.0,406
2038,Brazil,2,82,25.7,407
2621,Germany,4,84,24.22,408
3787,England,1,81,25.7,409
5989,Belgium,4,80,24.65,410
7361,Turkey,0,77,25.13,411
92,Brazil,2,82,25.57,412
5028,Germany,3,84,24.39,413
7304,France,0,81,25.3,414
1138,Argentina,0,82,26.83,415
899,Sweden,1,75,27.17,416
1200,Venezuela,1,71,25.96,417
173,Italy,0,83,26.22,418
3296,Chile,2,76,25.91,419
4369,Peru,1,72,26.61,420
689,Portugal,1,80,26.87,421
7462,Brazil,3,82,25.57,422
3308,Chile,3,76,25.91,423
7475,Colombia,2,78,27.04,424
6678,Argentina,1,82,26.83,425
6975,Spain,2,85,26.96,426
1887,Uruguay,1,79,27.3,427
7299,Italy,2,83,26.22,428
1894,Spain,2,85,26.96,429
4938,Brazil,2,82,25.57,430
6834,Italy,2,83,26.22,431
6516,Brazil,2,82,25.57,432
5745,Spain,0,85,26.96,433
4567,Spain,0,86,26.7,434
2458,Italy,2,83,26.52,435
5663,Korea Republic,0,71,25.13,436
2,Austria,0,74,24.43,437
6864,France,0,81,24.78,438
3435,Spain,2,86,26.7,439
2091,England,3,81,25.61,440
3371,Slovenia,0,72,26.17,441
7603,Germany,3,84,24.39,442
3286,Czech Republic,1,75,25.43,443
891,Italy,1,83,26.52,444
5194,Peru,0,72,26.13,445
3223,Ivory Coast,1,77,25.83,446
6327,Russia,0,78,26.43,447
1110,Poland,3,74,24.09,448
62,Portugal,1,80,27.13,449
1754,Sweden,4,75,27.17,450
3665,Brazil,0,82,25.09,451
7767,Venezuela,2,71,25.96,452
7512,Chile,3,76,26.04,453
2321,Colombia,1,78,27.04,454
4210,Spain,2,86,26.7,455
815,Germany,3,84,24.39,456
5081,Sweden,2,75,27.17,457
2743,Italy,1,83,26.52,458
1692,Portugal,4,80,27.13,459
7479,Paraguay,4,74,28.61,460
1964,Uruguay,2,79,27.22,461
7199,Romania,3,71,25.04,462
7132,Belgium,2,80,24.61,463
4033,Brazil,6,82,25.09,464
7115,Austria,1,74,24.43,465
1960,Ecuador,1,71,26.0,466
5383,Brazil,3,82,25.09,467
1325,Italy,2,83,26.52,468
1994,Switzerland,2,76,24.39,469
563,Argentina,5,82,26.04,470
6831,Turkey,2,77,25.13,471
4431,Spain,2,86,26.7,472
2529,Uruguay,2,79,27.22,473
4824,Mexico,0,75,26.3,474
6426,Peru,2,72,26.13,475
171,Argentina,3,82,26.04,476
1442,Colombia,3,78,27.04,477
742,Italy,2,83,26.52,478
832,Uruguay,0,79,27.22,479
4373,France,6,81,24.78,480
681,Germany,3,84,24.39,481
5492,Netherlands,8,80,24.3,482
4714,Norway,0,73,24.61,483
7061,Sweden,2,75,27.17,484
4329,Paraguay,1,74,28.61,485
462,Brazil,2,82,25.09,486
4027,Czech Republic,1,75,25.43,487
511,Chile,2,76,26.04,488
1617,England,2,81,25.61,489
5973,France,3,81,24.78,490
2705,Colombia,2,78,27.04,491
7405,Peru,1,72,26.13,492
4171,Germany,5,84,24.39,493
6115,Switzerland,1,76,24.39,494
6679,Netherlands,2,80,24.3,495
5931,Argentina,2,82,26.04,496
3082,Belgium,0,80,24.61,497
6781,Argentina,0,82,26.04,498
4175,Denmark,2,74,25.09,499
3891,England,0,81,25.61,500
1557,Greece,3,74,26.26,501
3046,Germany,1,84,24.39,502
2630,Switzerland,1,76,24.39,503
1651,Portugal,1,80,27.13,504
3254,USA,0,74,27.22,505
2290,Turkey,1,77,25.13,506
5045,Austria,1,74,24.43,507
4418,Brazil,2,82,25.09,508
6750,Germany,1,84,24.39,509
5947,Netherlands,0,80,24.3,510
6934,Norway,0,73,24.61,511
5228,Poland,0,74,24.09,512
4838,Greece,1,74,26.26,513
1501,Russia,2,78,26.43,514
6086,Spain,0,86,26.7,515
6681,Portugal,3,80,27.13,516
6738,Mexico,4,75,26.3,517
1972,Poland,3,74,24.09,518
1247,Mexico,4,75,26.3,519
4544,USA,2,74,27.78,520
7053,Ecuador,4,71,26.78,521
4935,Uruguay,1,78,28.17,522
6921,Belgium,2,81,25.35,523
6064,Czech Republic,2,74,26.22,524
135,England,1,81,26.39,525
278,France,2,82,25.57,526
269,Germany,1,83,25.13,527
1232,Greece,0,74,26.78,528
5676,Hungary,1,71,26.48,529
4017,Poland,0,75,25.48,530
317,Portugal,5,80,26.78,531
5781,Argentina,0,82,27.48,532
5270,Brazil,5,83,26.3,533
7711,Spain,1,85,27.04,534
1512,Turkey,2,77,25.35,535
6496,Germany,0,84,25.61,536
7214,Netherlands,1,79,25.35,537
2245,Czech Republic,2,75,26.57,538
924,Denmark,2,74,24.87,539
3506,Turkey,2,78,25.57,540
1787,South Africa,1,71,24.3,541
4978,France,4,82,25.09,542
3239,Sweden,0,75,25.74,543
5519,Cameroon,1,76,25.7,544
3547,England,3,80,25.13,545
2969,South Africa,0,71,24.83,546
2847,Spain,2,85,26.78,547
4201,Uruguay,1,78,28.26,548
3416,Italy,0,82,26.65,549
4022,Mexico,3,75,26.26,550
5136,Russia,1,77,26.39,551
225,Portugal,0,80,27.17,552
3934,France,1,82,25.65,553
722,Germany,2,84,25.39,554
668,Belgium,2,81,24.3,555
1799,Turkey,1,78,25.57,556
7030,Czech Republic,1,75,26.57,557
3609,Switzerland,2,77,24.65,558
3003,England,2,80,25.13,559
133,Netherlands,2,79,25.13,560
5113,Greece,2,74,27.13,561
67,Portugal,1,80,27.17,562
6001,Argentina,2,82,27.39,563
2303,Portugal,5,80,27.17,564
5051,Chile,3,76,27.09,565
1653,Cameroon,0,76,26.52,566
6494,Spain,1,85,26.78,567
5301,Colombia,3,78,27.26,568
5424,Italy,2,82,26.65,569
2748,Switzerland,2,77,24.65,570
1990,Germany,4,84,25.39,571
1883,Brazil,0,83,26.83,572
5991,Russia,1,77,26.39,573
4700,Netherlands,3,79,25.13,574
5174,Spain,0,85,26.78,575
2181,Colombia,2,78,27.26,576
2261,England,1,80,25.13,577
7730,France,5,81,25.39,578
1753,Belgium,1,81,24.57,579
1636,Portugal,2,80,27.17,580
6101,Spain,3,85,26.78,581
2850,Brazil,4,83,26.83,582
7215,Netherlands,2,79,25.0,583
7601,Ivory Coast,1,76,26.43,584
1413,Italy,0,82,26.39,585
943,France,0,81,25.39,586
2038,Belgium,1,81,24.57,587
496,Germany,1,84,24.87,588
3513,Brazil,1,83,26.83,589
1808,Colombia,2,77,26.48,590
5040,Netherlands,2,79,25.0,591
7123,Argentina,1,82,27.65,592
5481,Belgium,2,81,24.57,593
28,Brazil,2,83,26.83,594
5472,Germany,1,84,24.87,595
477,Argentina,1,82,27.65,596
7435,Germany,7,84,24.87,597
6669,Argentina,0,82,27.65,598
2630,Brazil,0,83,26.83,599
7449,Germany,1,84,24.87,600
2269,Czech Republic,0,74,27.57,601
4394,Czech Republic,0,74,27.57,602
861,Czech Republic,0,74,26.96,603
225,Czech Republic,0,74,26.96,604
3296,Turkey,2,78,25.57,605
1272,Turkey,2,78,26.3,606
6768,Turkey,2,78,25.57,607
422,Turkey,2,78,26.3,608
3360,England,1,80,25.09,609
3842,England,1,80,25.09,610
1151,England,1,80,24.04,611
6918,England,1,80,24.04,612
1627,Germany,2,83,23.87,613
5618,Germany,2,83,23.87,614
2295,Germany,2,84,24.87,615
5813,Germany,2,84,24.87,616
182,Belgium,2,81,24.3,617
1955,Belgium,2,81,24.3,618
3466,Belgium,2,81,25.78,619
797,Belgium,2,81,25.78,620
5794,Spain,0,84,26.96,621
4553,Spain,0,85,26.52,622
1667,Spain,0,84,26.96,623
7114,Spain,0,85,26.52,624
6873,Italy,2,82,26.39,625
5703,Italy,2,82,26.39,626
4956,Italy,2,82,27.3,627
6910,Italy,2,82,27.3,628
1800,Korea Republic,3,71,25.74,629
5743,Korea Republic,3,71,25.74,630
6400,Korea Republic,3,71,24.74,631
1610,Korea Republic,3,71,24.74,632
5664,Mexico,0,75,26.87,633
94,Chile,0,76,26.61,634
1866,Mexico,0,75,25.87,635
7352,Chile,0,76,26.61,636
3502,Germany,2,83,23.87,637
789,Germany,2,83,23.87,638
291,Germany,2,84,24.87,639
4392,Germany,2,84,24.87,640
6871,Greece,0,74,26.91,641
986,Greece,0,74,26.91,642
7645,Greece,0,74,27.48,643
3015,Greece,0,74,27.48,644
3472,Northern Ireland,2,70,27.57,645
4276,Northern Ireland,2,70,26.65,646
5992,Hungary,1,70,27.09,647
3155,Hungary,1,70,27.09,648
5916,Sweden,1,75,25.74,649
6108,Sweden,1,76,28.39,650
7220,Sweden,1,75,25.74,651
6404,Sweden,1,76,28.39,652
5154,Uruguay,1,76,29.0,653
5520,Uruguay,1,76,27.22,654
1986,Uruguay,1,76,29.0,655
3572,Uruguay,1,76,27.22,656
653,England,2,80,25.09,657
344,England,2,80,24.04,658
3737,England,2,80,25.09,659
2090,England,2,80,24.04,660
4031,Netherlands,1,79,25.0,661
296,Netherlands,1,80,26.13,662
1779,Netherlands,1,79,25.0,663
3390,Netherlands,1,80,26.13,664
7593,Mexico,1,75,26.87,665
5601,Mexico,1,75,26.87,666
3572,Mexico,1,75,25.87,667
3407,Mexico,1,75,25.87,668
3911,Italy,2,82,26.39,669
2565,Italy,2,82,27.3,670
6267,Italy,2,82,26.39,671
6906,Italy,2,82,27.3,672
4372,Ivory Coast,1,76,26.22,673
2646,Ivory Coast,1,76,27.04,674
6569,Cameroon,4,76,25.26,675
3736,Cameroon,4,76,25.26,676
1104,Switzerland,0,76,24.87,677
6809,Russia,1,77,26.39,678
6562,Paraguay,0,73,30.61,679
4583,Turkey,1,78,26.48,680
3199,Brazil,2,82,25.17,681
150,Greece,1,74,26.74,682
5500,France,2,81,26.04,683
805,Germany,0,84,24.91,684
2968,Romania,1,73,27.0,685
5041,Norway,2,72,24.65,686
7707,Portugal,1,80,26.39,687
7582,Romania,2,73,27.0,688
2571,Germany,1,84,24.91,689
5486,Greece,0,74,26.74,690
3315,Poland,2,75,26.17,691
5205,Netherlands,2,79,25.3,692
5969,Brazil,4,82,24.61,693
1644,Hungary,1,70,25.87,694
1695,Paraguay,2,70,25.65,695
4211,Romania,2,73,27.26,696
5046,Ireland,0,74,28.09,697
4964,Colombia,2,78,25.65,698
3609,Russia,0,76,26.3,699
3292,England,3,80,24.74,700
183,Belgium,0,80,25.0,701
7785,Brazil,2,82,24.61,702
1185,Venezuela,2,70,25.39,703
4886,Chile,1,75,26.57,704
5624,France,1,81,26.3,705
5709,Russia,2,76,26.3,706
2684,Ireland,4,74,28.09,707
6193,Paraguay,1,70,25.65,708
3897,Argentina,0,82,27.09,709
1056,Denmark,0,74,26.35,710
1287,England,3,80,24.74,711
1171,Colombia,1,78,25.65,712
2101,Germany,1,84,24.91,713
2792,Ivory Coast,0,77,27.09,714
2100,Ivory Coast,0,75,25.3,715
6848,Cameroon,1,71,23.39,716
4675,Ivory Coast,0,75,25.3,717
7321,Korea Republic,1,71,26.57,718
2310,Sweden,0,74,26.09,719
3916,Ivory Coast,1,75,25.3,720
4666,Chile,3,75,26.83,721
1046,Australia,2,70,25.83,722
3078,Denmark,3,74,26.35,723
7175,Germany,2,84,24.83,724
5150,Scotland,1,72,27.43,725
188,France,1,81,26.17,726
5341,Italy,2,79,26.91,727
1504,Netherlands,1,80,25.13,728
5665,Brazil,1,82,24.7,729
5924,France,2,81,25.65,730
6192,Greece,0,74,25.26,731
6576,Poland,1,75,25.61,732
6996,Northern Ireland,2,69,26.43,733
5715,England,1,80,25.09,734
2419,Korea Republic,1,70,24.83,735
1749,Spain,0,83,25.35,736
96,Venezuela,1,71,26.35,737
2811,Switzerland,1,76,24.87,738
2704,Mexico,0,76,26.09,739
7576,Netherlands,3,80,25.22,740
577,Brazil,2,82,24.7,741
660,France,3,81,25.65,742
6263,England,0,80,24.87,743
6749,Sweden,0,74,26.52,744
3765,Turkey,4,76,25.91,745
6449,Germany,1,84,25.26,746
3815,Chile,2,76,27.17,747
5462,Mexico,0,71,26.87,748
3505,Belgium,0,81,25.22,749
810,Argentina,2,82,27.09,750
3179,Hungary,1,70,26.83,751
3851,Ireland,1,74,27.96,752
3428,Romania,0,72,25.91,753
3357,Brazil,2,82,24.7,754
7496,Colombia,0,78,24.78,755
3948,Russia,0,77,26.65,756
7300,England,3,80,24.87,757
5075,Chile,3,76,27.17,758
4626,Ecuador,2,71,26.48,759
3071,Argentina,1,82,27.09,760
5772,Portugal,1,80,27.91,761
7375,Poland,0,76,25.91,762
653,Brazil,0,82,24.7,763
1501,Peru,1,71,26.09,764
1903,Chile,5,76,27.17,765
3323,Mexico,1,71,26.87,766
7269,Uruguay,1,76,26.22,767
5428,Brazil,2,82,24.7,768
2733,Colombia,0,78,24.78,769
1229,Chile,1,76,27.17,770
1989,Peru,3,71,26.09,771
3851,Argentina,0,82,26.91,772
1910,Brazil,1,82,24.96,773
873,Chile,2,76,27.22,774
5212,Argentina,6,82,26.91,775
331,Peru,2,71,26.39,776
2439,Argentina,0,82,26.91,777
6769,Norway,1,71,24.17,778
1515,Germany,3,84,24.96,779
170,Greece,0,74,25.83,780
3429,Romania,0,72,26.17,781
3407,France,1,81,25.83,782
1590,Chile,3,76,27.26,783
3885,Russia,1,77,26.65,784
5369,Switzerland,3,77,24.0,785
2471,Italy,1,79,26.48,786
1406,Netherlands,0,79,24.35,787
4567,Hungary,1,70,26.96,788
2321,Greece,0,74,25.83,789
4503,Germany,3,84,24.96,790
4720,England,2,80,25.09,791
6415,Argentina,2,82,26.91,792
62,Sweden,1,74,26.3,793
664,Argentina,0,82,26.91,794
706,Uruguay,0,76,25.96,795
1263,Brazil,0,82,24.96,796
