id,weak_team,weak_score,weak_overall,weak_avg_age,ft_id
51286,Uruguay,1,79,26.76,260
45243,Denmark,1,76,26.48,261
24672,Finland,3,71,24.96,262
32570,Slovenia,1,74,26.44,263
36116,Bulgaria,2,71,26.16,264
13810,Norway,0,74,26.52,265
35590,Switzerland,5,76,24.04,266
69948,Scotland,1,74,26.48,267
62421,Bulgaria,0,71,26.16,268
35119,Korea Republic,1,71,24.2,269
68036,Romania,1,73,26.08,270
57070,USA,1,75,25.44,271
60002,Russia,3,79,27.2,272
69167,Ecuador,0,73,25.6,273
70112,Australia,0,72,27.16,274
38413,Belgium,0,79,23.88,275
55528,Northern Ireland,0,71,25.32,276
13319,Norway,1,74,26.52,277
44084,Turkey,3,77,25.16,278
13295,Mexico,2,76,26.08,279
64135,Peru,0,74,26.32,280
50798,Hungary,0,72,26.52,281
17727,Romania,0,73,26.08,282
41297,Greece,1,75,26.16,283
14201,Argentina,4,82,25.8,284
10053,Portugal,0,82,26.76,285
37230,Denmark,1,76,26.48,286
35655,Ecuador,1,73,25.6,287
50234,Ireland,1,77,26.72,288
53260,Italy,1,83,26.88,289
56686,Peru,2,74,26.32,290
69237,England,1,83,26.04,291
48245,Poland,1,76,25.48,292
46479,Denmark,2,76,26.48,293
34839,Netherlands,1,82,25.84,294
25534,Croatia,1,78,26.64,295
15478,Ireland,0,77,26.72,296
28330,Sweden,2,77,27.32,297
45777,Greece,1,75,26.16,298
384,Denmark,1,76,26.48,299
34386,Netherlands,1,82,25.84,300
27591,Croatia,0,78,26.64,301
27470,Ireland,0,77,26.72,302
7956,Sweden,2,77,27.32,303
56916,Greece,2,75,26.16,304
37093,France,0,83,26.16,305
68764,Italy,0,83,26.88,306
32918,Portugal,0,82,26.76,307
31645,Italy,2,83,26.88,308
1029,Italy,0,83,26.88,309
46064,Austria,2,74,24.88,310
66839,Belgium,4,79,23.88,311
26436,Switzerland,4,76,24.04,312
28303,Ecuador,3,73,25.6,313
60735,Italy,1,83,26.88,314
25891,Uruguay,0,79,26.76,315
3119,Argentina,3,82,25.8,316
47544,USA,1,75,25.44,317
5127,Finland,3,71,24.96,318
30184,Norway,2,74,26.52,319
20556,Ivory Coast,1,78,26.96,320
57573,Australia,1,72,27.16,321
46947,Romania,3,73,26.08,322
48266,Sweden,0,77,27.32,323
19498,South Africa,0,71,25.12,324
52562,Bulgaria,2,71,26.16,325
43028,Colombia,4,77,26.08,326
62723,Finland,0,71,24.96,327
53413,Turkey,0,77,25.16,328
53129,Northern Ireland,0,71,25.32,329
65036,Slovenia,0,74,26.44,330
6063,Austria,1,74,24.88,331
27322,Croatia,1,78,26.64,332
48418,Chile,1,76,25.8,333
47646,Hungary,1,72,26.52,334
1462,Slovenia,1,74,26.44,335
16028,Peru,1,74,26.32,336
25270,Ecuador,1,73,25.6,337
67309,Argentina,1,82,25.8,338
30694,Uruguay,0,79,26.76,339
14602,Bulgaria,1,71,26.16,340
40053,Ecuador,3,73,25.6,341
24722,Ireland,1,77,26.72,342
68806,South Africa,0,71,25.12,343
42752,Russia,1,79,27.2,344
32326,Norway,1,74,26.52,345
37813,Romania,1,73,26.08,346
29918,Scotland,0,74,26.48,347
64567,Chile,1,76,25.8,348
42890,Cameroon,0,76,24.52,349
45642,Sweden,4,77,27.32,350
9068,Hungary,3,72,26.52,351
60228,Denmark,1,76,26.48,352
49717,Northern Ireland,1,71,25.32,353
28676,Romania,1,73,26.08,354
17289,France,1,83,26.16,355
24201,Poland,1,76,25.48,356
34464,Austria,0,74,24.88,357
51309,Colombia,1,77,26.08,358
56774,Hungary,0,72,26.52,359
65359,Greece,1,75,26.16,360
25829,France,2,83,26.16,361
62303,Korea Republic,1,71,24.2,362
13780,Netherlands,0,82,25.84,363
11219,Poland,1,76,25.48,364
27523,Romania,2,73,26.08,365
55235,USA,2,75,25.44,366
60579,Sweden,4,77,27.32,367
70560,Denmark,1,76,26.48,368
47514,Argentina,2,82,25.8,369
6185,South Africa,0,71,25.12,370
35110,Egypt,2,69,27.6,371
40902,Finland,0,71,24.96,372
45770,Romania,1,73,26.08,373
67998,Egypt,1,69,27.6,374
23126,Korea Republic,0,71,24.2,375
14524,Brazil,1,83,25.6,376
53070,France,1,83,26.16,377
65768,Greece,0,75,26.16,378
26720,Poland,0,76,25.48,379
35131,Netherlands,1,82,25.84,380
50716,Ecuador,3,73,25.6,381
40291,Australia,2,72,27.16,382
42353,Uruguay,1,79,26.76,383
46448,Sweden,2,77,27.32,384
56889,Brazil,2,82,25.7,385
60660,Venezuela,0,71,26.43,386
37219,Bolivia,0,66,26.43,387
16325,Denmark,3,74,24.52,388
50810,Hungary,2,70,25.09,389
50624,Peru,1,72,26.83,390
2261,Finland,1,69,25.91,391
39619,Ireland,0,74,26.83,392
58513,Paraguay,1,74,28.7,393
42902,Russia,1,78,26.78,394
55861,Bolivia,1,66,26.43,395
40884,Chile,2,76,26.04,396
64764,Bulgaria,1,69,26.87,397
48676,Ecuador,4,72,25.7,398
7721,France,0,82,25.74,399
34910,Austria,2,74,24.61,400
28468,USA,0,74,26.57,401
25954,Romania,0,71,25.13,402
15917,Hungary,1,70,25.09,403
70455,Venezuela,1,71,26.43,404
68181,Bolivia,0,66,26.17,405
47471,Peru,0,72,26.83,406
2876,Chile,2,76,25.83,407
23051,Ecuador,2,72,25.78,408
2557,Ireland,1,74,26.83,409
69788,USA,2,73,26.04,410
30831,Slovenia,2,72,25.87,411
59071,England,2,81,25.7,412
13030,USA,4,73,26.04,413
735,Uruguay,1,79,27.3,414
3400,Colombia,0,78,27.04,415
12447,Austria,2,74,24.43,416
65123,Bolivia,1,66,26.17,417
63580,Czech Republic,0,75,25.65,418
10968,Paraguay,1,74,28.61,419
5987,Ecuador,0,72,25.78,420
1360,Russia,0,78,26.57,421
10507,France,0,81,25.3,422
40579,Bolivia,1,66,26.17,423
26102,Peru,0,72,26.61,424
25538,Ecuador,1,72,25.78,425
54517,Ireland,0,74,26.83,426
41128,Venezuela,0,71,25.96,427
49834,Mexico,1,76,26.13,428
21285,Uruguay,1,79,27.3,429
24915,Mexico,0,76,26.13,430
45059,Brazil,4,82,25.57,431
57935,Uruguay,1,79,27.3,432
38724,Italy,0,83,26.22,433
28046,Brazil,3,82,25.09,434
40622,Uruguay,2,79,27.22,435
22942,Australia,0,71,27.96,436
56462,Greece,2,74,26.26,437
19341,Belgium,0,80,24.61,438
42451,Ecuador,0,72,26.04,439
24311,Scotland,2,73,26.74,440
2961,Finland,2,70,24.78,441
29388,Paraguay,3,74,28.61,442
13981,Hungary,1,69,25.3,443
38726,Argentina,2,82,26.04,444
1833,Korea Republic,0,71,25.13,445
19392,Mexico,4,75,26.3,446
19823,Northern Ireland,1,70,26.22,447
12096,Denmark,2,74,25.09,448
40441,Netherlands,1,80,24.3,449
22345,Norway,2,73,24.61,450
8143,Switzerland,1,76,24.39,451
62944,Bolivia,2,66,26.0,452
24690,Venezuela,0,71,25.96,453
41508,Ecuador,0,71,26.0,454
39519,Finland,0,70,24.78,455
39517,Austria,0,74,24.43,456
69079,Ireland,1,74,26.83,457
66009,Bulgaria,0,68,25.17,458
17344,Northern Ireland,2,70,26.22,459
12127,Bolivia,0,66,26.0,460
19826,Peru,1,72,26.13,461
11217,Hungary,0,69,25.3,462
14202,Scotland,0,73,26.74,463
39459,Australia,0,70,27.78,464
42565,Ireland,0,74,26.83,465
59267,Bolivia,1,66,26.0,466
43026,Portugal,1,80,27.13,467
7715,Czech Republic,1,75,25.43,468
35826,Norway,0,73,24.61,469
57753,Paraguay,2,74,28.61,470
33715,Romania,0,71,25.04,471
15818,Chile,2,76,26.04,472
39222,Colombia,0,78,27.04,473
42925,USA,2,74,27.22,474
28655,Venezuela,3,71,25.96,475
2471,Peru,1,72,26.13,476
28988,Chile,3,76,26.04,477
52810,Denmark,2,74,25.09,478
17581,Ecuador,1,71,26.0,479
11148,Australia,0,70,27.78,480
19161,Ireland,0,74,26.83,481
50294,Hungary,1,69,25.3,482
47634,Slovenia,3,72,26.17,483
1286,Austria,1,74,24.43,484
22164,Venezuela,1,71,25.96,485
26990,Korea Republic,0,71,25.13,486
7951,Bulgaria,0,68,25.17,487
30166,Ecuador,1,71,26.0,488
63431,Poland,0,74,24.09,489
19874,Finland,0,70,24.78,490
25851,Paraguay,1,74,28.61,491
18760,Bolivia,1,66,26.0,492
31329,Sweden,3,75,27.17,493
67314,Slovenia,0,72,26.17,494
105,Turkey,0,77,25.13,495
48063,Uruguay,3,79,27.22,496
1047,Colombia,2,78,27.04,497
35619,Ecuador,0,71,26.0,498
8601,Norway,1,73,24.61,499
41644,Chile,2,76,26.04,500
29560,Romania,1,71,25.04,501
3484,Italy,1,83,26.52,502
28713,Korea Republic,2,71,25.13,503
46669,Sweden,0,75,27.17,504
28220,Scotland,0,73,26.74,505
66712,Northern Ireland,0,70,26.22,506
38981,USA,0,74,27.22,507
34773,Chile,1,76,26.04,508
564,England,0,81,25.61,509
380,Colombia,0,78,27.04,510
32177,Scotland,1,73,26.74,511
24723,Ireland,0,74,26.83,512
62569,Romania,1,71,25.04,513
22118,Korea Republic,1,71,25.13,514
24430,South Africa,1,70,25.09,515
62848,Sweden,2,75,27.17,516
57563,New Zealand,2,65,26.09,517
11245,Norway,0,73,24.61,518
19549,Korea Republic,0,71,25.13,519
44751,Korea Republic,0,67,24.74,520
59822,Australia,3,69,24.61,521
31413,Austria,1,74,26.09,522
54349,Ivory Coast,2,77,26.91,523
65937,Norway,2,72,24.04,524
31897,Denmark,0,74,24.87,525
21907,Netherlands,0,79,25.26,526
63995,Chile,0,76,26.74,527
65144,Korea Republic,2,67,25.22,528
15603,Finland,2,69,26.04,529
37907,Scotland,1,72,26.74,530
57857,Cameroon,1,76,25.7,531
11128,Romania,0,72,27.3,532
33820,South Africa,0,72,26.3,533
44129,Italy,0,82,27.13,534
35948,Sweden,1,75,27.17,535
3583,Poland,0,76,25.39,536
42107,Ecuador,1,71,26.78,537
13093,Finland,2,69,26.04,538
25106,Hungary,2,69,26.0,539
31700,Ireland,1,73,27.7,540
44542,Australia,1,70,25.13,541
67701,Norway,0,72,24.04,542
57118,Denmark,1,74,24.87,543
21822,Paraguay,2,74,29.61,544
1296,Peru,0,72,26.43,545
26506,New Zealand,0,65,24.52,546
24177,Bolivia,0,63,25.35,547
33587,Northern Ireland,0,68,26.52,548
4167,Ireland,0,73,27.7,549
30434,Ecuador,1,72,26.74,550
34124,Norway,1,72,24.04,551
17246,Greece,0,74,27.13,552
28129,Paraguay,1,74,29.61,553
7848,Cameroon,2,76,26.52,554
45112,Sweden,0,75,25.74,555
10339,USA,2,74,26.35,556
43943,Austria,2,74,26.04,557
10888,Peru,0,72,26.43,558
3838,Ecuador,2,72,26.74,559
9315,Wales,0,73,25.57,560
34896,Bolivia,1,63,25.35,561
38154,Mexico,0,75,26.26,562
27822,Slovenia,0,72,25.39,563
29563,Ireland,1,73,27.7,564
63626,Australia,1,69,25.61,565
25065,Mexico,1,75,26.26,566
69716,Netherlands,5,79,25.13,567
8764,Greece,0,74,27.13,568
55144,England,1,80,25.13,569
5758,Ecuador,1,72,26.74,570
20219,Portugal,0,80,27.17,571
64958,Mexico,0,75,26.26,572
58706,Korea Republic,1,71,24.74,573
11169,Australia,2,69,25.61,574
19240,Chile,2,76,27.09,575
48958,Ivory Coast,1,77,26.48,576
53617,Uruguay,2,78,28.26,577
65797,Switzerland,2,77,24.65,578
60269,Russia,0,77,26.57,579
48460,USA,2,74,26.35,580
31475,Australia,0,69,24.91,581
13583,Cameroon,1,76,25.26,582
44764,Chile,0,76,26.61,583
60384,Greece,2,74,27.13,584
22029,Uruguay,1,77,27.13,585
20820,Ecuador,0,72,26.39,586
14135,Korea Republic,0,71,24.74,587
67601,USA,0,74,26.35,588
43023,Chile,1,76,26.61,589
49633,Uruguay,0,77,27.13,590
6257,Mexico,1,75,25.87,591
16181,Switzerland,0,77,24.65,592
20691,USA,1,74,26.35,593
982,Colombia,1,77,26.48,594
49904,France,0,81,25.39,595
29009,Belgium,0,81,24.57,596
44839,Brazil,1,83,26.83,597
22366,Netherlands,0,79,25.0,598
55908,Netherlands,3,79,25.0,599
43678,Argentina,0,82,27.65,600
45983,USA,1,74,25.83,601
35183,USA,1,74,26.83,602
63643,USA,1,74,25.83,603
10593,USA,1,74,26.83,604
18689,Denmark,1,73,25.87,605
57307,Denmark,1,73,25.87,606
45890,Denmark,1,74,26.87,607
67424,Denmark,1,74,26.87,608
35826,Norway,0,71,25.48,609
64698,Norway,0,72,24.17,610
69348,Norway,0,71,25.48,611
28887,Norway,0,72,24.17,612
41720,Argentina,4,81,28.39,613
28399,Argentina,4,82,27.65,614
61984,Argentina,4,81,28.39,615
47150,Argentina,4,82,27.65,616
12998,Australia,0,69,24.91,617
4846,Australia,0,69,25.91,618
53975,Australia,0,69,24.91,619
69125,Australia,0,69,25.91,620
66488,France,1,81,25.13,621
927,France,1,81,25.13,622
38202,France,1,81,26.13,623
70251,France,1,81,26.13,624
62690,Netherlands,0,79,25.0,625
29926,Netherlands,0,80,26.13,626
56987,Netherlands,0,79,25.0,627
23364,Netherlands,0,80,26.13,628
40664,Venezuela,1,71,26.96,629
55370,Venezuela,1,71,27.96,630
10796,Venezuela,1,71,26.96,631
36990,Venezuela,1,71,27.96,632
67650,Chile,0,75,27.3,633
44614,Mexico,0,75,26.87,634
47344,Chile,0,75,27.3,635
10240,Mexico,0,75,25.87,636
5146,Scotland,1,73,26.83,637
61131,Scotland,1,73,27.83,638
35576,Scotland,1,73,26.83,639
62180,Scotland,1,73,27.83,640
58601,Romania,1,72,25.13,641
65196,Romania,1,73,26.87,642
36472,Romania,1,72,25.13,643
44660,Romania,1,73,26.87,644
27651,Hungary,1,69,25.43,645
53962,Hungary,1,69,25.43,646
21563,Northern Ireland,2,70,27.57,647
36873,Northern Ireland,2,70,26.65,648
49336,Austria,1,73,24.83,649
58376,Austria,1,73,24.83,650
69121,Austria,1,73,25.83,651
50258,Austria,1,73,25.83,652
2475,Korea Republic,0,71,25.74,653
46587,Korea Republic,0,71,25.74,654
48399,Korea Republic,0,71,24.74,655
20337,Korea Republic,0,71,24.74,656
25426,Switzerland,0,76,24.48,657
47597,Switzerland,0,76,24.48,658
15298,Switzerland,0,76,25.17,659
4608,Switzerland,0,76,25.17,660
6886,Czech Republic,2,74,27.57,661
65598,Czech Republic,2,74,27.57,662
12363,Czech Republic,2,74,26.96,663
13093,Czech Republic,2,74,26.96,664
43179,Bolivia,0,63,25.13,665
62701,Bolivia,0,65,26.78,666
19938,Bolivia,0,63,25.13,667
56957,Bolivia,0,65,26.78,668
65513,Norway,0,71,25.48,669
37508,Norway,0,71,25.48,670
25116,Norway,0,72,24.17,671
23855,Norway,0,72,24.17,672
10315,Cameroon,4,75,25.65,673
7943,Cameroon,4,75,25.65,674
43557,Ivory Coast,1,76,26.22,675
461,Ivory Coast,1,76,27.04,676
20380,Slovenia,1,73,26.91,677
47086,Sweden,1,75,27.7,678
22251,Korea Republic,2,72,26.39,679
57248,Czech Republic,2,74,27.7,680
4190,Argentina,0,81,28.39,681
59263,Finland,1,69,25.65,682
50527,Portugal,1,80,26.39,683
15384,Poland,2,75,26.17,684
53002,Hungary,1,70,26.57,685
59753,Bulgaria,1,69,26.57,686
13546,Denmark,0,74,25.65,687
61987,Finland,0,69,25.65,688
11294,Ireland,1,74,28.22,689
51662,Northern Ireland,2,70,27.57,690
37986,Scotland,2,73,27.83,691
54329,Mexico,3,73,25.78,692
61363,Turkey,0,76,26.04,693
24472,Finland,0,69,26.0,694
2482,Peru,1,69,24.43,695
61548,Northern Ireland,0,70,26.83,696
52982,Scotland,1,72,27.7,697
12231,USA,1,74,25.91,698
59667,Austria,1,73,25.61,699
23726,Slovenia,1,71,26.91,700
61475,Wales,0,73,25.57,701
54554,Austria,1,73,25.61,702
3163,Bolivia,3,65,27.43,703
8477,Uruguay,2,75,25.26,704
29746,Sweden,0,75,27.48,705
24285,Hungary,1,70,25.87,706
40043,USA,1,74,25.91,707
63775,Peru,2,69,24.43,708
47861,Portugal,1,80,27.65,709
43965,Romania,2,73,27.26,710
6016,Scotland,1,72,27.7,711
40793,Slovenia,0,71,26.91,712
10794,Spain,0,83,25.57,713
65498,Cameroon,0,76,26.48,714
41283,South Africa,2,68,24.3,715
23389,South Africa,1,68,24.3,716
26328,Sweden,2,74,26.09,717
33926,Australia,0,70,25.65,718
56379,Finland,1,69,25.96,719
47730,Cameroon,0,71,23.39,720
25046,USA,2,74,25.65,721
3449,Korea Republic,1,70,25.3,722
63949,USA,2,74,25.91,723
39937,Australia,2,70,25.43,724
61083,Northern Ireland,0,69,27.0,725
38536,Brazil,3,81,24.3,726
47111,Bulgaria,2,69,26.65,727
20920,Turkey,1,77,25.91,728
6457,Chile,0,76,27.26,729
48548,Denmark,0,75,26.43,730
16618,Hungary,0,70,26.87,731
38810,Ireland,1,74,28.0,732
32681,Finland,1,69,25.52,733
16337,Italy,1,79,26.91,734
41887,New Zealand,0,65,23.04,735
57647,Netherlands,2,80,25.13,736
42108,Peru,0,70,25.09,737
13010,USA,1,73,24.7,738
44549,USA,2,73,24.7,739
66488,USA,4,74,25.17,740
6983,Mexico,0,71,26.87,741
45181,Belgium,4,81,25.22,742
16985,Ireland,0,74,27.96,743
2307,Norway,0,72,24.78,744
15817,Bulgaria,0,68,26.65,745
46209,USA,2,74,25.17,746
43612,Ecuador,0,71,26.48,747
10773,Bolivia,0,68,26.39,748
10999,Wales,1,73,24.7,749
52098,Paraguay,2,71,26.3,750
58603,Finland,0,68,24.65,751
59648,Scotland,1,73,26.48,752
59964,Northern Ireland,0,69,26.74,753
46751,Peru,1,71,26.09,754
46653,Venezuela,1,71,26.35,755
10323,Austria,1,74,25.22,756
53743,Slovenia,2,73,26.35,757
65585,Mexico,3,71,26.87,758
10244,Bolivia,3,68,26.39,759
29548,Uruguay,0,76,26.22,760
44226,Italy,0,79,26.74,761
17664,Greece,0,75,24.78,762
27965,Colombia,1,78,24.78,763
16122,Venezuela,0,71,26.35,764
56402,Bolivia,0,68,26.39,765
12459,Ecuador,2,71,26.48,766
8531,Paraguay,1,71,26.3,767
28659,Venezuela,1,71,26.35,768
46206,Peru,0,71,26.09,769
36809,Uruguay,0,76,26.22,770
37377,Bolivia,1,68,26.39,771
64690,Colombia,0,78,24.7,772
64664,Paraguay,1,71,26.3,773
497,Peru,1,71,26.39,774
44213,Paraguay,1,71,26.3,775
