id,date,strong_team,weak_team,win,tournament
96,2010-09-04,Ukraine,Poland,0,Friendly
97,2010-09-07,Spain,Argentina,0,Friendly
98,2010-09-07,Paraguay,China,0,Friendly
99,2010-09-07,Croatia,Greece,0,UEFA Euro qualification
100,2010-09-07,Netherlands,Finland,1,UEFA Euro qualification
101,2010-09-07,Portugal,Norway,0,UEFA Euro qualification
102,2010-09-07,Australia,Poland,1,Friendly
103,2010-09-07,England,Switzerland,1,UEFA Euro qualification
104,2010-09-07,Turkey,Belgium,1,UEFA Euro qualification
105,2010-10-08,Czech Republic,Scotland,1,UEFA Euro qualification
106,2010-10-08,Germany,Turkey,1,UEFA Euro qualification
107,2010-10-08,Russia,Ireland,1,UEFA Euro qualification
108,2010-10-08,Italy,Northern Ireland,0,UEFA Euro qualification
109,2010-10-08,Portugal,Denmark,1,UEFA Euro qualification
110,2010-10-09,Australia,Paraguay,1,Friendly
111,2010-10-09,France,Romania,1,UEFA Euro qualification
112,2010-10-09,USA,Poland,0,Friendly
113,2010-10-11,Brazil,Ukraine,1,Friendly
114,2010-10-12,Belgium,Austria,0,UEFA Euro qualification
115,2010-10-12,Uruguay,China,1,Friendly
116,2010-10-12,Croatia,Norway,1,Friendly
117,2010-10-12,Ecuador,Poland,0,Friendly
118,2010-10-12,Finland,Hungary,0,UEFA Euro qualification
119,2010-10-12,Netherlands,Sweden,1,UEFA Euro qualification
120,2010-10-12,Paraguay,New Zealand,1,Friendly
121,2010-10-12,Spain,Scotland,1,UEFA Euro qualification
122,2010-11-17,Brazil,Argentina,0,Friendly
123,2010-11-17,Greece,Austria,1,Friendly
124,2010-11-17,Czech Republic,Denmark,0,Friendly
125,2010-11-17,England,France,0,Friendly
126,2010-11-17,Ireland,Norway,0,Friendly
127,2010-11-17,Italy,Romania,0,Friendly
128,2010-11-17,Netherlands,Turkey,1,Friendly
129,2010-11-17,Spain,Portugal,0,Friendly
130,2010-11-17,Russia,Belgium,0,Friendly
131,2010-11-17,USA,South Africa,1,Friendly
132,2010-11-17,Germany,Sweden,0,Friendly
133,2010-11-17,Switzerland,Ukraine,0,Friendly
134,2011-01-14,Australia,Korea Republic,0,AFC Asian Cup
135,2011-02-08,Ukraine,Romania,0,Cyprus International Tournament
136,2011-02-09,Argentina,Portugal,1,Friendly
137,2011-02-09,Belgium,Finland,0,Friendly
138,2011-02-09,Croatia,Czech Republic,1,Friendly
139,2011-02-09,England,Denmark,1,Friendly
140,2011-02-09,Brazil,France,0,Friendly
141,2011-02-09,Italy,Germany,0,Friendly
142,2011-02-09,Netherlands,Austria,1,Friendly
143,2011-02-09,Norway,Poland,0,Friendly
144,2011-02-09,Scotland,Northern Ireland,1,Nations Cup
145,2011-02-09,Sweden,Ukraine,0,Cyprus International Tournament
146,2011-02-09,Turkey,Korea Republic,0,Friendly
147,2011-03-25,Belgium,Austria,1,UEFA Euro qualification
148,2011-03-25,China,New Zealand,0,Friendly
149,2011-03-25,Netherlands,Hungary,1,UEFA Euro qualification
150,2011-03-25,Italy,Slovenia,1,UEFA Euro qualification
151,2011-03-25,Spain,Czech Republic,1,UEFA Euro qualification
152,2011-03-26,Switzerland,Bulgaria,0,UEFA Euro qualification
153,2011-03-26,Norway,Denmark,0,UEFA Euro qualification
154,2011-03-26,Argentina,USA,0,Friendly
155,2011-03-27,Brazil,Scotland,1,Friendly
156,2011-03-29,France,Croatia,0,Friendly
157,2011-03-29,Germany,Australia,0,Friendly
158,2011-03-29,Greece,Poland,0,Friendly
159,2011-03-29,Uruguay,Ireland,1,Friendly
160,2011-03-29,Netherlands,Hungary,1,UEFA Euro qualification
161,2011-03-29,Northern Ireland,Slovenia,0,UEFA Euro qualification
162,2011-03-29,Portugal,Finland,1,Friendly
163,2011-03-29,Turkey,Austria,1,UEFA Euro qualification
164,2011-04-20,Argentina,Ecuador,0,Friendly
165,2011-05-24,Ireland,Northern Ireland,1,Nations Cup
166,2011-05-28,Mexico,Ecuador,0,Friendly
167,2011-05-29,Germany,Uruguay,1,Friendly
168,2011-05-29,Ireland,Scotland,1,Nations Cup
169,2011-06-01,Mexico,New Zealand,1,Friendly
170,2011-06-03,Germany,Austria,1,UEFA Euro qualification
171,2011-06-03,Turkey,Belgium,0,UEFA Euro qualification
172,2011-06-04,Brazil,Netherlands,0,Friendly
173,2011-06-04,England,Switzerland,0,UEFA Euro qualification
174,2011-06-04,Portugal,Norway,1,UEFA Euro qualification
175,2011-06-04,Spain,USA,1,Friendly
176,2011-06-05,Australia,New Zealand,1,Friendly
177,2011-06-05,Argentina,Poland,0,Friendly
178,2011-06-07,Brazil,Romania,1,Friendly
179,2011-06-07,Greece,Ecuador,0,Friendly
180,2011-06-07,Italy,Ireland,0,Friendly
181,2011-06-07,Russia,Cameroon,0,Friendly
182,2011-06-07,Sweden,Finland,1,UEFA Euro qualification
183,2011-06-08,Netherlands,Uruguay,0,Friendly
184,2011-06-09,France,Poland,1,Friendly
185,2011-06-25,Mexico,Ecuador,1,Friendly
186,2011-06-25,Mexico,USA,1,Gold Cup
187,2011-07-12,Uruguay,Mexico,1,Copa América
188,2011-07-13,Brazil,Ecuador,1,Copa América
189,2011-07-16,Argentina,Uruguay,0,Copa América
190,2011-08-10,Brazil,Germany,0,Friendly
191,2011-08-10,Croatia,Ireland,0,Friendly
192,2011-08-10,Spain,Italy,0,Friendly
193,2011-08-10,Czech Republic,Norway,0,Friendly
194,2011-08-10,Scotland,Denmark,1,Friendly
195,2011-08-10,Belgium,Slovenia,0,Friendly
196,2011-08-10,Mexico,USA,0,Friendly
197,2011-09-02,England,Bulgaria,1,UEFA Euro qualification
198,2011-09-02,Germany,Austria,1,UEFA Euro qualification
199,2011-09-02,Sweden,Hungary,0,UEFA Euro qualification
200,2011-09-02,Mexico,Poland,0,Friendly
201,2011-09-03,Czech Republic,Scotland,0,UEFA Euro qualification
202,2011-09-06,Turkey,Austria,0,UEFA Euro qualification
203,2011-09-06,Belgium,USA,1,Friendly
204,2011-09-06,Denmark,Norway,1,UEFA Euro qualification
205,2011-09-06,Netherlands,Finland,1,UEFA Euro qualification
206,2011-09-06,Italy,Slovenia,1,UEFA Euro qualification
207,2011-09-06,Germany,Poland,0,Friendly
208,2011-09-06,France,Romania,0,UEFA Euro qualification
209,2011-09-06,Russia,Ireland,0,UEFA Euro qualification
210,2011-09-06,Switzerland,Bulgaria,1,UEFA Euro qualification
211,2011-09-14,Argentina,Brazil,0,Friendly
212,2011-09-28,Brazil,Argentina,1,Friendly
213,2011-10-07,Spain,Czech Republic,1,UEFA Euro qualification
214,2011-10-07,Sweden,Finland,1,UEFA Euro qualification
215,2011-10-07,Croatia,Greece,0,UEFA Euro qualification
216,2011-10-07,Poland,Korea Republic,0,Friendly
217,2011-10-07,Germany,Turkey,1,UEFA Euro qualification
218,2011-10-11,Portugal,Denmark,0,UEFA Euro qualification
219,2011-10-11,Germany,Belgium,1,UEFA Euro qualification
220,2011-10-11,Hungary,Finland,0,UEFA Euro qualification
221,2011-10-11,Italy,Northern Ireland,1,UEFA Euro qualification
222,2011-10-11,Brazil,Mexico,1,Friendly
223,2011-10-11,Spain,Scotland,1,UEFA Euro qualification
224,2011-10-11,Netherlands,Sweden,0,UEFA Euro qualification
225,2011-10-11,USA,Ecuador,0,Friendly
226,2011-11-11,Belgium,Romania,1,Friendly
227,2011-11-11,Sweden,Denmark,0,Friendly
228,2011-11-11,France,USA,1,Friendly
229,2011-11-11,Russia,Greece,0,Friendly
230,2011-11-11,Netherlands,Switzerland,0,Friendly
231,2011-11-11,Italy,Poland,1,Friendly
232,2011-11-11,Turkey,Croatia,0,UEFA Euro qualification
233,2011-11-12,Spain,England,0,Friendly
234,2011-11-15,Croatia,Turkey,0,UEFA Euro qualification
235,2011-11-15,Denmark,Finland,1,Friendly
236,2011-11-15,England,Sweden,1,Friendly
237,2011-11-15,France,Belgium,0,Friendly
238,2011-11-15,Germany,Netherlands,1,Friendly
239,2011-11-15,Greece,Romania,0,Friendly
240,2011-11-15,Italy,Uruguay,0,Friendly
241,2011-11-15,Poland,Hungary,1,Friendly
242,2011-11-15,USA,Slovenia,1,Friendly
243,2012-02-29,Austria,Finland,1,Friendly
244,2012-02-29,Croatia,Sweden,0,Friendly
245,2012-02-29,Russia,Denmark,1,Friendly
246,2012-02-29,England,Netherlands,0,Friendly
247,2012-02-29,Germany,France,0,Friendly
248,2012-02-29,Belgium,Greece,0,Friendly
249,2012-02-29,Hungary,Bulgaria,0,Friendly
250,2012-02-29,Italy,USA,0,Friendly
251,2012-02-29,Colombia,Mexico,1,Friendly
252,2012-02-29,Norway,Northern Ireland,1,Friendly
253,2012-02-29,Portugal,Poland,0,Friendly
254,2012-02-29,Uruguay,Romania,0,Friendly
255,2012-02-29,Slovenia,Scotland,0,Friendly
256,2012-02-29,Argentina,Switzerland,1,Friendly
257,2012-03-21,Chile,Peru,1,Copa del Pacífico
258,2012-04-11,Chile,Peru,1,Copa del Pacífico
259,2012-05-20,Cameroon,Egypt,0,Friendly
260,2012-05-25,Russia,Uruguay,0,Friendly
261,2012-05-26,Brazil,Denmark,1,Friendly
262,2012-05-26,Turkey,Finland,0,Friendly
263,2012-05-26,Greece,Slovenia,0,Friendly
264,2012-05-26,Netherlands,Bulgaria,0,Friendly
265,2012-05-26,England,Norway,1,Friendly
266,2012-05-26,Germany,Switzerland,0,Friendly
267,2012-05-26,USA,Scotland,1,Friendly
268,2012-05-29,Turkey,Bulgaria,1,Friendly
269,2012-05-30,Spain,Korea Republic,1,Friendly
270,2012-05-30,Switzerland,Romania,0,Friendly
271,2012-05-30,Brazil,USA,1,Friendly
272,2012-06-01,Italy,Russia,0,Friendly
273,2012-06-02,Argentina,Ecuador,1,FIFA World Cup qualification
274,2012-06-02,Denmark,Australia,1,Friendly
275,2012-06-02,England,Belgium,1,Friendly
276,2012-06-02,Netherlands,Northern Ireland,1,Friendly
277,2012-06-02,Croatia,Norway,0,Friendly
278,2012-06-02,Portugal,Turkey,0,Friendly
279,2012-06-03,Brazil,Mexico,0,Friendly
280,2012-06-03,Colombia,Peru,1,FIFA World Cup qualification
281,2012-06-04,Ireland,Hungary,0,Friendly
282,2012-06-05,Austria,Romania,0,Friendly
283,2012-06-08,Poland,Greece,0,UEFA Euro
284,2012-06-09,Brazil,Argentina,0,Friendly
285,2012-06-09,Germany,Portugal,1,UEFA Euro
286,2012-06-09,Netherlands,Denmark,0,UEFA Euro
287,2012-06-10,Colombia,Ecuador,0,FIFA World Cup qualification
288,2012-06-10,Croatia,Ireland,1,UEFA Euro
289,2012-06-10,Spain,Italy,0,UEFA Euro
290,2012-06-10,Uruguay,Peru,1,FIFA World Cup qualification
291,2012-06-11,France,England,0,UEFA Euro
292,2012-06-12,Russia,Poland,0,UEFA Euro
293,2012-06-13,Portugal,Denmark,1,UEFA Euro
294,2012-06-13,Germany,Netherlands,1,UEFA Euro
295,2012-06-14,Italy,Croatia,0,UEFA Euro
296,2012-06-14,Spain,Ireland,1,UEFA Euro
297,2012-06-15,England,Sweden,1,UEFA Euro
298,2012-06-16,Russia,Greece,0,UEFA Euro
299,2012-06-17,Germany,Denmark,1,UEFA Euro
300,2012-06-17,Portugal,Netherlands,1,UEFA Euro
301,2012-06-18,Spain,Croatia,1,UEFA Euro
302,2012-06-18,Italy,Ireland,1,UEFA Euro
303,2012-06-19,France,Sweden,0,UEFA Euro
304,2012-06-22,Germany,Greece,1,UEFA Euro
305,2012-06-23,Spain,France,1,UEFA Euro
306,2012-06-24,England,Italy,0,UEFA Euro
307,2012-06-27,Spain,Portugal,0,UEFA Euro
308,2012-06-28,Germany,Italy,0,UEFA Euro
309,2012-07-01,Spain,Italy,1,UEFA Euro
310,2012-08-15,Turkey,Austria,0,Friendly
311,2012-08-15,Netherlands,Belgium,0,Friendly
312,2012-08-15,Croatia,Switzerland,0,Friendly
313,2012-08-15,Chile,Ecuador,0,Friendly
314,2012-08-15,England,Italy,1,Friendly
315,2012-08-15,France,Uruguay,0,Friendly
316,2012-08-15,Germany,Argentina,0,Friendly
317,2012-08-15,Mexico,USA,0,Friendly
318,2012-08-15,Northern Ireland,Finland,0,Friendly
319,2012-08-15,Greece,Norway,1,Friendly
320,2012-08-15,Russia,Ivory Coast,0,Friendly
321,2012-08-15,Scotland,Australia,1,Friendly
322,2012-08-15,Slovenia,Romania,1,Friendly
323,2012-08-15,Brazil,Sweden,1,Friendly
324,2012-09-07,Brazil,South Africa,1,Friendly
325,2012-09-07,Italy,Bulgaria,0,FIFA World Cup qualification
326,2012-09-07,Uruguay,Colombia,0,FIFA World Cup qualification
327,2012-09-07,France,Finland,1,FIFA World Cup qualification
328,2012-09-07,Netherlands,Turkey,1,FIFA World Cup qualification
329,2012-09-07,Russia,Northern Ireland,1,FIFA World Cup qualification
330,2012-09-07,Switzerland,Slovenia,1,FIFA World Cup qualification
331,2012-09-11,Germany,Austria,1,FIFA World Cup qualification
332,2012-09-11,Belgium,Croatia,0,FIFA World Cup qualification
333,2012-09-11,Colombia,Chile,1,FIFA World Cup qualification
334,2012-09-11,Netherlands,Hungary,1,FIFA World Cup qualification
335,2012-09-11,Norway,Slovenia,1,FIFA World Cup qualification
336,2012-09-11,Argentina,Peru,0,FIFA World Cup qualification
337,2012-09-11,Uruguay,Ecuador,0,FIFA World Cup qualification
338,2012-09-19,Brazil,Argentina,1,Friendly
339,2012-10-12,Argentina,Uruguay,1,FIFA World Cup qualification
340,2012-10-12,Denmark,Bulgaria,0,FIFA World Cup qualification
341,2012-10-12,Chile,Ecuador,0,FIFA World Cup qualification
342,2012-10-12,Germany,Ireland,1,FIFA World Cup qualification
343,2012-10-12,Poland,South Africa,1,Friendly
344,2012-10-12,Portugal,Russia,0,FIFA World Cup qualification
345,2012-10-12,Switzerland,Norway,0,FIFA World Cup qualification
346,2012-10-12,Turkey,Romania,0,FIFA World Cup qualification
347,2012-10-16,Belgium,Scotland,1,FIFA World Cup qualification
348,2012-10-16,Argentina,Chile,1,FIFA World Cup qualification
349,2012-10-16,Colombia,Cameroon,1,Friendly
350,2012-10-16,Germany,Sweden,0,FIFA World Cup qualification
351,2012-10-16,Turkey,Hungary,0,FIFA World Cup qualification
352,2012-10-16,Italy,Denmark,1,FIFA World Cup qualification
353,2012-10-16,Portugal,Northern Ireland,0,FIFA World Cup qualification
354,2012-10-16,Netherlands,Romania,1,FIFA World Cup qualification
355,2012-10-16,Spain,France,0,FIFA World Cup qualification
356,2012-10-17,England,Poland,0,FIFA World Cup qualification
357,2012-11-14,Ivory Coast,Austria,1,Friendly
358,2012-11-14,Brazil,Colombia,0,Friendly
359,2012-11-14,Norway,Hungary,1,Friendly
360,2012-11-14,Ireland,Greece,0,Friendly
361,2012-11-14,Italy,France,0,Friendly
362,2012-11-14,Australia,Korea Republic,1,Friendly
363,2012-11-14,Germany,Netherlands,0,Friendly
364,2012-11-14,Uruguay,Poland,1,Friendly
365,2012-11-14,Belgium,Romania,0,Friendly
366,2012-11-14,Russia,USA,0,Friendly
367,2012-11-14,England,Sweden,0,Friendly
368,2012-11-14,Turkey,Denmark,0,Friendly
369,2012-11-21,Brazil,Argentina,0,Friendly
370,2013-01-08,Norway,South Africa,1,Friendly
371,2013-01-14,Ivory Coast,Egypt,1,Friendly
372,2013-01-26,Sweden,Finland,1,King's Cup
373,2013-02-02,Poland,Romania,1,Friendly
374,2013-02-06,Chile,Egypt,1,Friendly
375,2013-02-06,Croatia,Korea Republic,1,Friendly
376,2013-02-06,England,Brazil,1,Friendly
377,2013-02-06,Germany,France,1,Friendly
378,2013-02-06,Switzerland,Greece,0,Friendly
379,2013-02-06,Ireland,Poland,1,Friendly
380,2013-02-06,Italy,Netherlands,0,Friendly
381,2013-02-06,Portugal,Ecuador,0,Friendly
382,2013-02-06,Romania,Australia,1,Friendly
383,2013-02-06,Spain,Uruguay,1,Friendly
384,2013-02-06,Argentina,Sweden,1,Friendly
385,2013-03-21,Italy,Brazil,0,Friendly
386,2013-03-22,Argentina,Venezuela,1,FIFA World Cup qualification
387,2013-03-22,Colombia,Bolivia,1,FIFA World Cup qualification
388,2013-03-22,Czech Republic,Denmark,0,FIFA World Cup qualification
389,2013-03-22,Romania,Hungary,0,FIFA World Cup qualification
390,2013-03-22,Chile,Peru,0,FIFA World Cup qualification
391,2013-03-22,Spain,Finland,0,FIFA World Cup qualification
392,2013-03-22,Sweden,Ireland,0,FIFA World Cup qualification
393,2013-03-22,Uruguay,Paraguay,0,FIFA World Cup qualification
394,2013-03-25,Brazil,Russia,0,Friendly
395,2013-03-26,Argentina,Bolivia,0,FIFA World Cup qualification
396,2013-03-26,Uruguay,Chile,0,FIFA World Cup qualification
397,2013-03-26,Denmark,Bulgaria,0,FIFA World Cup qualification
398,2013-03-26,Paraguay,Ecuador,0,FIFA World Cup qualification
399,2013-03-26,Spain,France,1,FIFA World Cup qualification
400,2013-03-26,Ireland,Austria,0,FIFA World Cup qualification
401,2013-03-26,Mexico,USA,0,FIFA World Cup qualification
402,2013-03-26,Netherlands,Romania,1,FIFA World Cup qualification
403,2013-03-26,Turkey,Hungary,0,FIFA World Cup qualification
404,2013-03-26,Colombia,Venezuela,0,FIFA World Cup qualification
405,2013-04-06,Brazil,Bolivia,1,Friendly
406,2013-04-17,Mexico,Peru,0,Friendly
407,2013-04-24,Brazil,Chile,0,Friendly
408,2013-05-29,Germany,Ecuador,1,Friendly
409,2013-05-29,England,Ireland,0,Friendly
410,2013-05-29,Belgium,USA,1,Friendly
411,2013-05-31,Turkey,Slovenia,0,Friendly
412,2013-06-02,Brazil,England,0,Friendly
413,2013-06-02,Germany,USA,0,Friendly
414,2013-06-05,France,Uruguay,0,Friendly
415,2013-06-07,Argentina,Colombia,0,FIFA World Cup qualification
416,2013-06-07,Sweden,Austria,0,FIFA World Cup qualification
417,2013-06-07,Venezuela,Bolivia,0,FIFA World Cup qualification
418,2013-06-07,Italy,Czech Republic,0,FIFA World Cup qualification
419,2013-06-07,Chile,Paraguay,1,FIFA World Cup qualification
420,2013-06-07,Peru,Ecuador,1,FIFA World Cup qualification
421,2013-06-07,Portugal,Russia,1,FIFA World Cup qualification
422,2013-06-09,Brazil,France,1,Friendly
423,2013-06-11,Chile,Bolivia,1,FIFA World Cup qualification
424,2013-06-11,Colombia,Peru,1,FIFA World Cup qualification
425,2013-06-11,Argentina,Ecuador,0,FIFA World Cup qualification
426,2013-06-11,Spain,Ireland,1,Friendly
427,2013-06-11,Uruguay,Venezuela,1,FIFA World Cup qualification
428,2013-06-16,Italy,Mexico,1,Confederations Cup
429,2013-06-16,Spain,Uruguay,1,Confederations Cup
430,2013-06-19,Brazil,Mexico,1,Confederations Cup
431,2013-06-22,Italy,Brazil,0,Confederations Cup
432,2013-06-26,Brazil,Uruguay,1,Confederations Cup
433,2013-06-27,Spain,Italy,0,Confederations Cup
434,2013-06-30,Spain,Brazil,0,Confederations Cup
435,2013-06-30,Italy,Uruguay,0,Confederations Cup
436,2013-07-20,Korea Republic,Australia,0,EAFF Championship
437,2013-08-14,Austria,Greece,0,Friendly
438,2013-08-14,France,Belgium,0,Friendly
439,2013-08-14,Spain,Ecuador,1,Friendly
440,2013-08-14,England,Scotland,1,Friendly
441,2013-08-14,Slovenia,Finland,0,Friendly
442,2013-08-14,Germany,Paraguay,0,Friendly
443,2013-08-14,Czech Republic,Hungary,0,Friendly
444,2013-08-14,Italy,Argentina,0,Friendly
445,2013-08-14,Peru,Korea Republic,0,Friendly
446,2013-08-14,Ivory Coast,Mexico,0,Friendly
447,2013-08-14,Russia,Northern Ireland,0,FIFA World Cup qualification
448,2013-08-14,Poland,Denmark,1,Friendly
449,2013-08-14,Portugal,Netherlands,0,Friendly
450,2013-08-14,Sweden,Norway,1,Friendly
451,2013-08-14,Brazil,Switzerland,0,Friendly
452,2013-08-14,Venezuela,Bolivia,0,Friendly
453,2013-09-06,Chile,Venezuela,1,FIFA World Cup qualification
454,2013-09-06,Colombia,Ecuador,1,FIFA World Cup qualification
455,2013-09-06,Spain,Finland,1,FIFA World Cup qualification
456,2013-09-06,Germany,Austria,1,FIFA World Cup qualification
457,2013-09-06,Sweden,Ireland,1,FIFA World Cup qualification
458,2013-09-06,Italy,Bulgaria,1,FIFA World Cup qualification
459,2013-09-06,Portugal,Northern Ireland,1,FIFA World Cup qualification
460,2013-09-06,Paraguay,Bolivia,1,FIFA World Cup qualification
461,2013-09-06,Uruguay,Peru,1,FIFA World Cup qualification
462,2013-09-06,Romania,Hungary,1,FIFA World Cup qualification
463,2013-09-06,Belgium,Scotland,1,FIFA World Cup qualification
464,2013-09-07,Brazil,Australia,1,Friendly
465,2013-09-10,Austria,Ireland,1,FIFA World Cup qualification
466,2013-09-10,Ecuador,Bolivia,0,FIFA World Cup qualification
467,2013-09-10,Brazil,Portugal,1,Friendly
468,2013-09-10,Italy,Czech Republic,1,FIFA World Cup qualification
469,2013-09-10,Switzerland,Norway,1,FIFA World Cup qualification
470,2013-09-10,Argentina,Paraguay,1,FIFA World Cup qualification
471,2013-09-10,Turkey,Romania,1,FIFA World Cup qualification
472,2013-09-10,Spain,Chile,0,Friendly
473,2013-09-10,Uruguay,Colombia,1,FIFA World Cup qualification
474,2013-09-10,Mexico,USA,0,FIFA World Cup qualification
475,2013-09-10,Peru,Venezuela,0,FIFA World Cup qualification
476,2013-10-11,Argentina,Peru,1,FIFA World Cup qualification
477,2013-10-11,Colombia,Chile,0,FIFA World Cup qualification
478,2013-10-11,Italy,Denmark,0,FIFA World Cup qualification
479,2013-10-11,Uruguay,Ecuador,0,FIFA World Cup qualification
480,2013-10-11,France,Australia,1,Friendly
481,2013-10-11,Germany,Ireland,1,FIFA World Cup qualification
482,2013-10-11,Netherlands,Hungary,1,FIFA World Cup qualification
483,2013-10-11,Norway,Slovenia,0,FIFA World Cup qualification
484,2013-10-11,Sweden,Austria,1,FIFA World Cup qualification
485,2013-10-11,Paraguay,Venezuela,0,FIFA World Cup qualification
486,2013-10-12,Brazil,Korea Republic,1,Friendly
487,2013-10-15,Czech Republic,Bulgaria,1,FIFA World Cup qualification
488,2013-10-15,Chile,Ecuador,1,FIFA World Cup qualification
489,2013-10-15,England,Poland,1,FIFA World Cup qualification
490,2013-10-15,France,Finland,1,FIFA World Cup qualification
491,2013-10-15,Colombia,Paraguay,1,FIFA World Cup qualification
492,2013-10-15,Peru,Bolivia,0,FIFA World Cup qualification
493,2013-10-15,Germany,Sweden,1,FIFA World Cup qualification
494,2013-10-15,Switzerland,Slovenia,1,FIFA World Cup qualification
